Manufacturer,Stock Code,Shaft Size,Outer Diameter,Compatible On,,,,,
Müller Martini,QC-MU/PO-FP-6,Top Shaft: 16mm / Bottom Shaft: 30mm,Top Shaft: 25mm / Bottom Shaft: 80mm,Müller Pony Binder,,,,,
Müller Martini,QC-MU/SIG-FP-6,Top Shaft: 30mm / Bottom Shaft: 30mm,Top Shaft: 50mm / Bottom Shaft: 80mm,Müller Martini 4-Shaft Sigma Binder,,,,,
Müller Martini,QC-MU/TRE-FP-6,35 & 45mm,110mm,Müller Martini Trend Binder,,,,,
Müller Martini,SC-MU/ADJ-FP-01,30mm,50mm,"Corona, Bolero, Acoro, Norm Binder, Star Binder",,,,,
Müller Martini,SC-MU/ADJ-6C-FP,30mm,50mm,"Corona, Bolero, Acoro, Norm Binder, Star Binder",,,,,
Müller Martini,SC-MU/ADJ-LF-4C-FP,30mm,50mm,"Corona, Bolero, Acoro, Norm Binder, Star Binder",,,,,
Müller Martini,QC-MU-VA-FP-03,30mm,64mm,Müller Martini VareoBinder,,,,,
MB,EF-MB/20-FP,20mm,40mm,,,,,,
MB,FF-MB/20-FP,20mm,40mm,,,,,,
MB,FF-MB/20-FP-01,20mm,40mm,,,,,,
MB,PD-DEL-MB/20-FP,20mm,40mm,,,,,,
MB,MT-MB/PERF-OPTION-1,20mm Exit Shaft,40mm,MB (MB CAS 38/52),,,,,
MB,MT-MB/CUTTING-OPTION-2,20mm Exit Shaft,40mm,MB (MB CAS 38/52),,,,,
MB,MT-MB,20mm Exit Shaft,40mm,MB CAS 38/52,,,,,
MBO,CP-AP-MF/30-FP,30mm,50mm,,,,,,
MBO,CP-AP-SM/35-FP,35mm,58mm,,,,,,
MBO,CP-AP-MF/40-FP,40mm,58mm,,,,,,
MBO,EF-MF/30-FP,30mm,50mm,,,,,,
MBO,EF-MF/40-FIX,40mm,58mm,,,,,,
MBO,EF-SM/35-FIX,35mm,58mm,,,,,,
MBO,EF-SM/35-FP,35mm,58mm,,,,,,
MBO,TC-DEL-MF/60-FP,60mm,96mm,,,,,,
MBO,GB-MF/30-FP,30mm,50mm,,,,,,
MBO,GB-SM/35-FP,35mm,58mm,,,,,,
MBO,FF-MF/30-FP,30mm,50mm,,,,,,
MBO,FF-MF/30-FP-01,30mm,50mm,,,,,,
MBO,FF-MF/40-FIX-01,40mm,58mm,,,,,,
MBO,FF-SM/35-FIX,35mm,58mm,,,,,,
MBO,FF-SM/35-FIX-01,35mm,58mm,,,,,,
MBO,FF-SM/35-FP,35mm,58mm,,,,,,
MBO,FF-SM/35-FP-01,35mm,58mm,,,,,,
MBO,PD-DEL-MF/30-FP,30mm,50mm,,,,,,
MBO,PD-DEL-MF/40-FP,40mm,58mm,,,,,,
MBO,PD-DEL-SM/35-FP,35mm,58mm,,,,,,
MBO,SHC-04,35mm,58mm,,,,,,
MBO,SHC-ADJ/04-FP,35mm,58mm,,,,,,
MBO,SHC-ADJ-MF/30-FP,30mm,50mm,,,,,,
MBO,SHC-MF/30-01,30mm,50mm,,,,,,
MBO,SHC-STA-ADJ/04-FP,35mm,58mm,,,,,,
MBO,SHC-STA-ADJ/30-FP,30mm,50mm,,,,,,
MBO,MT-02/PERF-OPTION-1,35mm Exit Shaft,58mm,MBO (Machines with widths between 56-80cms),,,,,
MBO,MT-02/PERF-OPTION-1,35mm Exit Shaft,58mm,MBO (Machines with widths between 56-80cms),,,,,
MBO,MT-04/PERF-OPTION-1,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-04/PERF-OPTION-1,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-MF/40/PERF-OPTION-1,40mm Exit Shaft,58mm,N/A,,,,,
MBO,MT-02/CUTTING-OPTION-2,35mm Exit Shaft,58mm,MBO (Machines with widths between 56-80cms),,,,,
MBO,MT-04/CUTTING-OPTION-2,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-MF/40/CUTTING-OPTION-2,40mm Exit Shaft,58mm,MBO (Machines with width 96cms),,,,,
MBO,MT-02/COMBO,35mm Exit Shaft,58mm,MBO (Machines with widths between 56-80cms),,,,,
MBO,MT-02/COMBO-FIX,35mm Exit Shaft,58mm,MBO (Machines with widths between 56-80cms),,,,,
MBO,MT-02/COMBO-01,35mm Exit Shaft,58mm,MBO (Machines with widths between 56-80cms),,,,,
MBO,MT-02/COMBO-FIX-01,35mm Exit Shaft,58mm,MBO (Machines with widths between 56-80cms),,,,,
MBO,MT-04/COMBO,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-04/COMBO-FIX,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-04/COMBO-01,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-02,35mm Exit Shaft,58mm,Machines with widths between 56-80cms,,,,,
MBO,MT-02,35mm Exit Shaft,58mm,Machines with widths between 56-80cms,,,,,
MBO,MT-04,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-04,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-MF/40,40mm Exit Shaft,58mm,N/A,,,,,
MBO,MT-CR/30-CAS,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-CR/30-CAS-01,30mm Exit Shaft,50mm,N/A,,,,,
MBO,MT-CR/35-CAS,35mm Exit Shaft,58mm,N/A,,,,,
MBO,MT-CR/35-CAS-FIX,35mm Exit Shaft,58mm,N/A,,,,,
MBO,MT-CR/35-CAS-01,35mm Exit Shaft,58mm,N/A,,,,,
MBO,MT-CR/40-CAS-FIX-01,40mm Exit Shaft,58mm,N/A,,,,,
MBO,EF-MF/30-DSF,30mm Exit Shaft,50mm,N/A,,,,,
MBO,EF-MF/30-FP-DSF-01-B,30mm Exit Shaft,50mm,N/A,,,,,
MBO,EF-SM/35-DSF,35mm Exit Shaft,58mm,N/A,,,,,
MBO,EF-SM/35-FP-DSF-01-B,35mm Exit Shaft,58mm,Stahl & MBO Folding Machines with widths from 56 - 80cm,,,,,
MBO,FF-MF/30-DSF,30mm Exit Shaft,50mm,N/A,,,,,
MBO,FF-MF/30-FP-DSF-01-B,30mm Exit Shaft,50mm,N/A,,,,,
MBO,FF-MF/40-DSF,40mm Exit Shaft,58mm,N/A,,,,,
MBO,FF-MF/40-FP-DSF-01-B,40mm Exit Shaft,58mm,N/A,,,,,
MBO,FF-SM/35-DSF,35mm Exit Shaft,58mm,Stahl & MBO Machines with widths 56 - 80cms,,,,,
MBO,FF-SM/35-FP-DSF-01-B,35mm Exit Shaft,58mm,Stahl & MBO Folding Machines with widths from 56 - 80cm,,,,,
McCain,SC-MC-01,N/A,N/A,McCain Machine,,,,,
MCM / DCM,EF-36-FIXED,36mm,58mm,,,,,,
MCM / DCM,QC-03,36mm,58mm,,,,,,
MCM / DCM,QC-GB-01,36mm,58mm,,,,,,
MCM / DCM,PD-DEL-QC/36-FP,36mm,58mm,,,,,,
MCM / DCM,SHC-03,36mm,58mm,,,,,,
MCM/DCM,CP-AP-QC/36-FP,36mm,58mm,,,,,,
MCM/DCM,MT-01/PERF-OPTION-1,36mm Exit Shaft,58mm,N/A,,,,,
MCM/DCM,MT-01/CUTTING-OPTION-2,36mm Exit Shaft,58mm,N/A,,,,,
MCM/DCM,MT-01 (MCM / DCM),36mm Exit Shaft,58mm,N/A,,,,,
MCM/DCM,FF-36-DSF,36mm Exit Shaft,58mm,N/A,,,,,
MCM/DCM,FF-36-DSF-SV,36mm Exit Shaft,58mm,N/A,,,,,
Morgana,FF-SH/15-FP-01-B,15mm,30mm,,,,,,
Morgana,FF-SH/15-FP-01-B-PACK,15mm,30mm,,,,,,
Morgana,PD-DEL-MO/15-FP-PACK,15mm,30mm,,,,,,
Osako,SC-OS-01,N/A,N/A,Tenner 310, Osako cover feeders that have an original red rubber matrix on the drum,,,,
Osako,SC-OS-02,N/A,N/A,Osako Cover Feeders similar to photo shown below,,,,,
Palamides,PD-PAL/MAILER-FP,8mm,48mm,,,,,,
Petratto,TC-DEL-FI/40-FP,40mm,60mm,,,,,,
Petratto,GB-PET/40-FP,40mm,60mm,,,,,,
Petratto,PD-DEL-PET/40-FP,40mm,60mm,,,,,,
Petratto,FF-PET/40-FP-DSF-01-B,40mm Exit Shaft,60mm,All Petratto 40mm diameter tooling shaft machines,,,,,
Pierce,EF-DEL-PE/26-FP,27mm,Male: 63.5mm / Female: 61.97mm,,,,,,
Pierce,FF-PI/27-FIX-01,27mm,Male: 63.7mm / Female: 61.97mm,,,,,,
Pivano GT,EF-PIV/32-FIX,32mm,46mm,,,,,,
Pratham Pharma,PH-PRATHAM/20-1,20mm,36mm,,,,,,
Pratham Pharma,PH-PRATHAM/30-1,30mm,50mm,,,,,,
Rollem,EF-RO/20-FP,25.43mm,Male: 61mm / Female: 63.5mm,,,,,,
Rollem,EF-RO/20-REV,25.43mm,Male: 62.35mm / Female: 62mm,,,,,,
Rollem,GB-RO,25.43mm,64mm,,,,,,
Rollem,FF-R0/25-FP-SV,25.43mm,Male: 61mm / Female: 63.5mm,,,,,,
Rollem,FF-RO/25-FP-01,25.43mm,Male: 61mm / Female: 63.5mm,,,,,,
Rollem,PD-DEL-RO/20-FP,25.43mm,Male: 61mm / Female: 64mm,,,,,,
Rollem,SHC-RO,25.43mm,64mm,,,,,,
Rollem,FF-RO/25-DSF,25.43mm Exit Shaft,63.5mm,All Rollem Creasing Machines,,,,,
Rollem,FF-RO/25-FP-DSF-01-B,25.43mm Exit Shaft,Male: 61mm / Female: 63.5mm,All Rollem Creasing Machines,,,,,
Rosback,EF-ROS/25-FP,25.43mm,Male: 63mm / Female: 62.34mm,,,,,,
Rosback,FF-ROS/25-FP,25.43mm,63mm,,,,,,
Rosback,FF-ROS/25-FP-01,25.43mm,Male: 63mm / Female: 62.34mm,,,,,,
Rosback,PD-DEL-ROS-BA/25-FP,25.43mm,63mm,,,,,,
Roto-Score,FF-RS-FP-01,"28.58mm/1 1/8""","50.24mm/2""",,,,,,
Shoei,EF-SH/35-FP,35mm,65mm,,,,,,
Shoei,FF-SH/15-FP-01-B,15mm,30mm,,,,,,
Shoei,FF-SH/15-FP-01-PACK,15mm,30mm,,,,,,
Shoei,FF-SH/55-FP,35mm,55mm,,,,,,
Shoei,FF-SH/65-45-FP,45mm,65mm,,,,,,
Shoei,FF-SH/65-FP,35mm,65mm,,,,,,
Shoei,PD-DEL-MO/15-FP-PACK,15mm,30mm,,,,,,
Shoei,MT-SH/55/PERF-OPTION-1,35mm Exit Shaft,55mm,Shoei (Shoei Folding Machines with 35mm diameter tooling shaft and 55mm roller outside diameter),,,,,
Shoei,MT-SH/65/PERF-OPTION-1,35mm Exit Shaft,65mm,Shoei (Shoei Folding Machines with 35mm diameter tooling shaft and 65mm roller outer diameter),,,,,
Shoei,MT-SH/55/CUTTING-OPTION-2,35mm Exit Shaft,55mm,N/A,,,,,
Shoei,MT-SH/65/CUTTING-OPTION-2,35mm Exit Shaft,65mm,N/A,,,,,
Shoei,MT-SH/COMBO-65,35mm Exit Shaft,65mm,N/A,,,,,
Shoei,MT-SH/55,35mm Exit Shaft,55mm,N/A,,,,,
Shoei,MT-SH/65,35mm Exit Shaft,65mm,N/A,,,,,
Shoei,MT-CR/SH-65-CAS,35mm Exit Shaft,65mm,N/A,,,,,
Sigloch,QC-MU/PO-FP-6,Top Shaft: 16mm Exit Shaft / Bottom Shaft: 30mm Exit Shaft,Top: 25mm / Bottom: 80mm,Müller Martini Pony Binder,,,,,
Smyth,FF-SMY/30-FP-01,30mm,64mm,,,,,,
Stahl/Heidelberg,EF-SM/35-FIX,35mm,58mm,,,,,,
Stahl/Heidelberg,EF-SM/35-FP,35mm,58mm,,,,,,
Web-Presses,PD-WEB,20mm,125mm,,,,,,
Web-Presses,TRI-WEB-01,Top Unit: 20mm / Bottom Unit: 101.6mm,Top Unit: 125mm / Bottom Unit: 124.64mm,Web Press,,,,,
Web-Presses,TRI-WEB-02,20mm,125mm,Web Press,,,,,
Web-Presses,TRI-WEB-03,20mm,100mm,Web Press,,,,,
Web-Presses,TRI-WEB-05,20mm,125mm,Web Press,,,,,
Wohlenberg,QC-DEL-MPB/30-FP-5,30mm Exit Shaft,50mm,Wohlenberg Quickmax Binder,,,,,
Wohlenberg,QC-DEL-WO/98-ENDFLAP-FP,30mm Exit Shaft,98mm,Wohlenberg Perfect Binding Machines (Champion, City E, Golf, Phoenix),,
Wohlenberg,QC-DEL-WO/98-FP-6,30mm Exit Shaft,98mm,Wohlenberg Perfect Binding Machines (Champion, City E, Golf, Phoenix),,
Wohlenberg,SC-MU/ADJ-FP-01,30mm Exit Shaft,50mm,Wohlenberg Quickmax Perfect Binding Machine,,,,,
Zander,FF-ZA-40-FP,40mm,100mm,,,,,,
