Manufacturer,Stock Code,Shaft Size,Outer Diameter,Compatible On,,,,,
GUK,MT-GUK/PERF-OPTION-1,35mm Exit Shaft,59.4mm,GUK (SM 50/2, SM 54/4, SM 74/4, FA 50, FA 54, FA 74)
GUK,MT-HH/35/PERF-OPTION-1,35mm Exit Shaft,58.27mm,N/A,,,,,
GUK,MT-HH/35/PERF-OPTION-1,35mm Exit Shaft,58.27mm,N/A,,,,,
GUK,MT-MB/PERF-OPTION-1,20mm Exit Shaft,40mm,GUK (FA 36, FA 43),,,,
GUK,MT-03/CUTTING-OPTION-2,25mm Exit Shaft,44mm,GUK (FA 35, FA 45),,,,
GUK,MT-GUK/CUTTING-OPTION-2,35mm Exit Shaft,59.4mm,GUK (SM 50/2, SM 54/4, SM 74/4, FA 50, FA 54, FA 74)
GUK,MT-HH/35/CUTTING-OPTION-2,35mm Exit Shaft,58.27mm,N/A,,,,,
GUK,MT-MB/CUTTING-OPTION-2,20mm Exit Shaft,40mm,GUK (FA 36, FA 43),,,,
GUK,MT-03/COMBO,25mm Exit Shaft,44mm,GUK (Machines with widths between 47 & 55cm),,,,,
GUK,MT-03/COMBO-FIX,25mm Exit Shaft,44mm,GUK (Machines with widths between 47 & 55cm),,,,,
GUK,MT-03/COMBO-01,25mm Exit Shaft,44mm,GUK (Machines with widths between 47 & 55cm),,,,,
GUK,MT-03/COMBO-FIX-01,25mm Exit Shaft,44mm,GUK (Machines with widths between 47 & 55cm),,,,,
GUK,MT-GUK/COMBO,35mm Exit Shaft,59.4mm,GUK (SM 50/2, SM 54/4, SM 74/4, FA 50, FA 54, FA 74)
GUK,MT-GUK/COMBO-01,35mm Exit Shaft,59.4mm,GUK (SM 50/2, SM 54/4, SM 74/4, FA 50, FA 54, FA 74)
GUK,MT-03,25mm Exit Shaft,44mm,GUK (FA 35, FA 45),,,,
GUK,MT-03,25mm Exit Shaft,44mm,GUK (Machines with widths between 47 & 55cm),,,,,
GUK,MT-GUK/35,35mm Exit Shaft,59.4mm,GUK (SM 50/2, SM 54/4, SM 74/4, FA 50, FA 54, FA 74)
GUK,MT-HH/35,35mm Exit Shaft,58.27mm,N/A,,,,,
GUK,MT-HH/35,35mm Exit Shaft,58.25mm,N/A,,,,,
GUK,MT-MB,20mm Exit Shaft,40mm,GUK (FA 36, FA 43),,,,
GUK,MT-CR/25-CAS,25mm Exit Shaft,44mm,N/A,,,,,
GUK,MT-CR/25-CAS-01,25mm Exit Shaft,44mm,N/A,,,,,
GUK,MT-CR/GU-CAS,35mm Exit Shaft,59.40mm,N/A,,,,,
GUK,MT-CR/GU-CAS-01,35mm Exit Shaft,59.40mm,N/A,,,,,
GUK,EF-ST/25-DSF,25mm Exit Shaft,44mm,FA 35 FA 45,,,,,
GUK,EF-ST/25-FP-DSF-01-B,25mm Exit Shaft,44mm,FA 35 FA45,,,,,
GUK,FF-GU/35-DSF,35mm Exit Shaft,59.4mm,SM 50/2 FA 50 SM 54/4 FA 74 SM 74/4,,,,,
GUK,FF-GU/35-FP-DSF-01-B,35mm Exit Shaft,59.4mm,SM 50/2 FA 50 SM 54/4 FA 74 SM 74/4,,,,,
GUK,FF-ST/25-DSF,25mm Exit Shaft,44mm,FA 35 FA45,,,,,
GUK,FF-ST/25-FP-DSF-01-B,25mm Exit Shaft,44mm,FA 35 FA 45,,,,,
Harris,QC-DEL-UB/6-FP,"1½""","4""",UB Binder (Older Style),,,,,
Harris,QC-DEL-UB/6-FP-01,30mm,"2.986"" (75.84mm)",new style UB Binder,,,,,
Harris/Goss,QC-DEL-GO/6-FP,30mm,75.25mm,Goss UB Binder,,,,,
Heidelberg,SC-HD-01,10mm,53mm,ST 100 / 400 Stitching Machines,,,,,
Heidelberg,SC-HD-03,17mm,60mm,ST 100 / 400 Stitching Machines,,,,,
Heidelberg,SC-HD-02,N/A,N/A,ST 300 Stitching Machine,,,,,
Heidelberg,SC-HD-04,N/A,N/A,ST-350, ST-400 (late models), ST-450, ST-500,,
Heidelberg,SC-SH-01,N/A,N/A,Heidelberg Prosetter, Sheridan, Macey, Harris,,
Heidelberg/Stahl,CP-AP-SM/35-FP,35mm,58mm,,,,,,
Heidelberg/Stahl,CP-AP-ST/25-FP,25mm,44mm,,,,,,
Heidelberg/Stahl,EF-MB/20-FP,20mm,40mm,,,,,,
Heidelberg/Stahl,EF-ST/20-FP,20mm,36mm,,,,,,
Heidelberg/Stahl,EF-ST/25-FP,25mm,44mm,,,,,,
Heidelberg/Stahl,EF-ST/45-FP,45mm,75mm,,,,,,
Heidelberg/Stahl,EF-ST/50-FP,50mm,75mm,,,,,,
Heidelberg/Stahl,GB-SM/35-FP,35mm,58mm,,,,,,
Heidelberg/Stahl,GB-ST/25-FP,25mm,44mm,,,,,,
Heidelberg/Stahl,FF-MB/20-FP,20mm,40mm,,,,,,
Heidelberg/Stahl,FF-MB/20-FP-01,20mm,40mm,,,,,,
Heidelberg/Stahl,FF-SM/35-DSF,35mm,58mm,,,,,,
Heidelberg/Stahl,FF-SM/35-FIX,35mm,58mm,,,,,,
Heidelberg/Stahl,FF-SM/35-FIX-01,35mm,58mm,,,,,,
Heidelberg/Stahl,FF-SM/35-FP,35mm,58mm,,,,,,
Heidelberg/Stahl,FF-SM/35-FP-01,35mm,58mm,,,,,,
Heidelberg/Stahl,FF-ST/25-FIX-01,25mm,44mm,,,,,,
Heidelberg/Stahl,FF-ST/25-FIX-01-B,25mm,44mm,,,,,,
Heidelberg/Stahl,FF-ST/25-FP,25mm,44mm,,,,,,
Heidelberg/Stahl,FF-ST/25-FP-01,25mm,44mm,,,,,,
Heidelberg/Stahl,FF-ST/25-FP-01-B,25mm,44mm,,,,,,
Heidelberg/Stahl,PD-DEL-MB/20-FP,20mm,40mm,,,,,,
Heidelberg/Stahl,PD-DEL-SM/35-FP,35mm,58mm,,,,,,
