Product Code,Description,Sales Price,Last Cost Price (Std)
TECH303,Fast-Fit Shoei Tri-Creaser - 15mm I/D (old style),0.00,82.14
TECH302,Kora Card Tip Easy-Fit Tri-Creaser,0.00,141.69
TECH300,25mm Chinese Fast-Fit Tri-Creaser,0.00,95.80
TECH299,30mm Chinese Fast-Fit Tri-Creaser,0.00,139.48
TECH298,35mm Chinese Fast-Fit Tri-Creaser,0.00,79.03
TECH297,Horizon Japanese 6 Creaser Set,0.00,62.00
TECH296,40mm Multi-Tool MBO 58mm O/D,0.00,119.30
TECH293,GUK Multi-Tool Creasing Cassette,0.00,58.10
TECH292M,H&H 30mm Male Only,0.00,25.89
TECH292F,H&H 30mm Female Only,0.00,36.31
TECH292,H&H 30mm Fast-Fit Tri-Creaser,0.00,38.74
TECH291,Rosback Fast-Fit Tri-Creaser,0.00,77.46
TECH290M,Male Only H&H 35mm Fast Fit,0.00,39.63
TECH290C,Collar Only H&H 35mm Fast Fit,0.00,19.70
TECH290,H&H 35mm Fast-Fit Tri-Creaser,0.00,51.19
TECH288MA,Fast Fit male Rollem,0.00,53.26
TECH288F,Rollem Female Crease Rings .Plastic,0.00,0.00
TECH288C,Rollem Fast Fit Collars Only (no lug),0.00,14.64
TECH288,Rollem Fast-Fit Tri-Creaser,0.00,96.54
TECH287C,Collar Only for Large Baum Fast Fit,0.00,19.18
TECH287,Large Baum Fast Fit,0.00,148.53
TECH286,Small Baum Fast Fit,0.00,117.71
TECH285,MB 20mm Fast Fit,0.00,50.52
TECH284,Stahl 20mm Easy-Fit Tri-Creaser,0.00,77.18
TECH283,Shoei 65mm Fast-Fit Tri-Creaser,0.00,72.72
TECH282F,GUK Fast Fit 35/59.4mm Female Only,0.00,51.40
TECH282,GUK 59.4mm O/D Fast Fit Tri-Creaser,0.00,82.18
TECH281C,Collars Only Shoei Fast Fit 55mm O/D,0.00,12.54
TECH281,Shoei Fast Fit 55mm,0.00,90.60
TECH280V,V Groove Gripper Band,0.00,4.95
TECH279,Horizon 20mm Multi-Tool Creasing Cassette,0.00,44.15
TECH278M,Male Only Horizon Fast Fit,0.00,36.46
TECH278F,Horizon 20mm Fast Fit Female Only,0.00,39.60
TECH278,Horizon 20mm Fast-Fit Tri-Creaser,0.00,69.24
TECH277,Muller Easy-Binder Extension Bottom - 5mm Hinge,0.00,50.00
TECH276,36mm Standard Adjustable Spine & Hinge Creaser - Agor Versio,0.00,186.32
TECH274,GUK 35mm 2 Set Multi-Tool Black and Blue Nylon Sleeve Holder,0.00,29.66
TECH273C,Sleeve Holder Only,0.00,12.50
TECH273A,30mm Black Only Nylon + Sleeve Holsder,0.00,33.54
TECH273,30mm 2 Set Multi-Tool Black and Blue Nylon Sleeve Holder,0.00,73.10
TECH272,25mm 2 Set Multi-Tool Black and Blue Nylon Sleeve Holder,0.00,74.29
TECH271,35mm 2 set Multi-Tool Nylon Sleeve Holders (Black and Blue),0.00,68.47
TECH270,30mm Multi-Tool Creasing Cassette,0.00,93.49
TECH269,25mm Multi-Tool Creasing Cassette,0.00,36.79
TECH267,25mm Fast-Fit Tri-Creaser with lugs,0.00,101.67
TECH266F,30mm Fast Fit Female Only,0.00,35.00
TECH266B,30mm MBO Blue Plastic Creaser,0.00,4.60
TECH266,30mm Fast-Fit Tri-Creaser with lugs - DISCONTINUED,0.00,64.61
TECH265,USA Horizon Micro-Perforator - 20mm,0.00,120.10
TECH264,36mm Fast-Fit Tri-Creaser with Female Bearing Component,0.00,203.53
TECH262,Agor Digi Easy-Fit Tri-Creaser,0.00,95.00
TECH261,36mm CP-AP Nylon Sleeve Holder,0.00,35.47
TECH260,100mm O/D Web Creaser,0.00,137.35
TECH259,Multi-Tool Nylon Sleeve Holder - 20mm - Horizon,0.00,46.04
TECH258,Multi-Tool 35mm Creasing Cassette - Bearing Female Component,0.00,58.10
TECH257,Card Folding Tri-Creaser - USA,0.00,222.38
TECH256,Rollem Easy-Fit Tri-Creaser with Female Bearing Component,0.00,183.10
TECH255M,Fast Fit 35mm Male Only (with lugs),0.00,29.28
TECH255F,Fast Fit 35mm Female Only,0.00,26.50
TECH255,Fast-Fit 35mm Tri-Creaser with lugs & Bearing Female,0.00,96.23
TECH254,36mm Double Kiss-Cutting Unit,0.00,85.44
TECH253,Muller Spine-Creaser Groove Cutting Unit,0.00,22.38
TECH248MOD,Support Rollers (when black gripper applied 50.7 O/D),0.00,12.29
TECH248,50.5mm Muller Gripper Boss Support Roller,0.00,32.93
TECH247YR,Plastic Creaser for 35mm Adjustable Spine/Hinge,0.00,27.31
TECH247R2,Female with blue & orange dot on both sides,0.00,19.24
TECH247GR1,Gripper Crease Holder,0.00,13.92
TECH247,35mm Special Spine & Hinge Creaser,0.00,345.38
TECH246,36mm Special Spine & Hinge Creaser - USA,0.00,302.03
TECH245,Muller Micro-Perforator,0.00,80.00
TECH243,25mm V Shape Fixed Female,0.00,42.23
TECH241,26mm Kolbus Easy-Binder - 6mm Hinge,0.00,76.88
TECH240,Palamides Mailer Stop Micro-Perforator,0.00,32.38
TECH239,35mm 3-10mm Spine-Hinge Creaser - 58mm O/D,0.00,138.84
TECH238,GUK 3-10mm Spine-Hinge Creaser - 58.25mm O/D,0.00,138.84
TECH237,Multi-Tool 35mm Creasing Cassette - Fixed Female lugged,0.00,27.38
TECH236T,Top Component Only. Muller 6mm Hinge Quad Creaser,0.00,26.71
TECH236,Muller 6mm Hinge Quad-Creaser - 2 Shaft System,0.00,200.50
TECH2351,Horizon Multi Tool Blade Holder,0.00,152.00
TECH235,Horizon US CD Perf & Slit Multi Blade & Nylon Holder,0.00,152.00
TECH234,Gripper Bosses for Lightweight Demo Models,0.00,32.38
TECH233,Kolbus 94 Mk 3,0.00,504.50
TECH232,McCain Spine-Creaser,0.00,284.48
TECH231,3 Crease 25mm Special,0.00,125.93
TECH230,Large Baum Multi-Tool Nylon Sleeve Holder Set,0.00,51.64
TECH229,Large Baum 28mm Multi-Tool Blade Holder,0.00,62.28
TECH228,Rollem Reverse Easy-Fit Tri-Creaser,0.00,150.77
TECH227,Rosback Easy Fit Tri-Creaser With Large Female,0.00,78.10
TECH226,35mm CP-Applicator Nylon Sleeve Holder,0.00,27.38
TECH225,Muller Easy-Binder Pink-Split Creaser - 7mm Hinge,0.00,77.02
TECH224,Extendable Multi-Tool Locking Collars,0.00,14.51
TECH223,Muller Binder Double Crease,0.00,80.00
TECH222,Horizon 20mm 2 Set Multi-Tool Black & Blue Nylon Sleeve Hold,0.00,68.23
TECH221,SAMC Spine-Hinge Creaser,0.00,0.00
TECH220,Bacciottini Easy-Fit Tri-Creaser,0.00,100.00
TECH219,Special US Horizon Multi-Tool Blade Holder - Tight Tolerance,0.00,95.00
TECH218,Muller Easy-Binder with 50.40mm O/D - China,0.00,80.00
TECH217,Italian Easy-Fit Tri-Creaser - 59mm,0.00,65.00
TECH216,35mm Easy-Fit USA,0.00,0.00
TECH215,SAMC Easy-Fit Tri-Creaser,0.00,93.10
TECH214,30mm Spine-Hinge Creaser - 3-8mm Hinge - 50.20mm O/D,0.00,108.23
TECH213,Easy-Fit Tri-Creaser - 25mm - USA,0.00,0.00
TECH212,20mm Horizon Feed Roller,0.00,35.81
TECH211,Horizon De-lux Reverse 20mm - USA,0.00,52.28
TECH210,30mm Spine-Hinge Creaser - 3-7mm Hinge,0.00,108.23
TECH209,Muller Easy-Binder Pink-Split Creaser - 5mm Hinge,0.00,78.09
TECH208,Large Baum 28mm CP-Applicator,0.00,774.54
TECH207,Mini 4 Crease Cassette,0.00,131.95
TECH206,30mm Spine-Hinge Creaser - 3-8mm Hinge - 49.56mm O/D,0.00,108.23
TECH205,Rosback Narrow Support Rollers (pair),0.00,69.81
TECH204,25mm 3-8mm Spine & Hinge Creaser,0.00,113.79
TECH203,Spine Hinge Creaser GUK 58.25 o/d 3-10 mm Hinge,0.00,142.26
TECH202,Muller Web Press Fast Fit Tri-creaser,0.00,0.00
TECH201Y,Muller S/C Yellow,0.00,3.85
TECH201MA,Muller Adjustable Spine Creaser Mandeil Only,0.00,33.09
TECH201C,Muller Adjustable Spine Creaser Collars Only,0.00,23.54
TECH201-SPARES,Incomplete Tech Number,0.00,0.00
TECH201,Adjustable Muller Spine-Creaser,0.00,304.27
TECH200,Horizon Stitchliner Spine-Creaser,0.00,75.00
TECH199,25mm Easy Fit Fixed Female Tri-creaser,0.00,42.00
TECH198,Muller Easy Binder Split Creaser - 8 mm Hinge,0.00,72.00
TECH197,Micro-Perforator - Stahl/Heidelberg Mailer Stop Perforator,0.00,27.38
TECH196,Easy Fit Tri-creaser - 40 mm I/D,0.00,74.50
TECH195,Dick Moll Easyfit Tri-creaser-30 mm I/D,0.00,73.89
TECH193,Spine-Creaser to fit Heidelberg ST350/450,0.00,326.48
TECH192,50mm Stahl Micro-Perforator,0.00,138.41
TECH191,Micro Perforator - Rollem,0.00,147.81
TECH190,Baum folder Easyfit Tri-creaser - 28 mm I/D,0.00,148.09
TECH189,Baumfolder Easyfit Tri-creaser - 22 mm I/D,0.00,100.25
TECH188,35mm Metal to Metal Multi-Tool,0.00,94.79
TECH187,Shoei Easy Fit Tri-creaser - 35 mm I/D 65 mm O/D,0.00,88.10
TECH186,Muller Easy-Binder - 1580 Cover Feeder,0.00,0.00
TECH185,Multi-Tool Nylon Sleeve Holder - 30mm - H&H,0.00,28.75
TECH184,Multi-Tool Blade Holder - 30mm - H&H,0.00,92.54
TECH183MOD,Spine Hinge Creaser Rollem (4creases same sheet),0.00,106.01
TECH183,Spine-Hinge Creaser - Rollem,0.00,107.80
TECH182W,Muller Washer/Spacers 6mm & 4mm,0.00,23.18
TECH182,Spine Creaser to fit Muller Cover Feeder 0554.04 Mk 2,0.00,255.73
TECH180,Muller Easy-Binder Pink-Split Creaser - 10mm Hinge,0.00,99.66
TECH179,Micro-Perforator with 35.002mm I/D (Tight Bore),0.00,85.69
TECH178,Kolbus Easy-Binder 92mm,0.00,169.65
TECH176,Kolbus Split Ring Binder - 58 mm,0.00,150.00
TECH174,Small Baum De-lux Tri-Creaser - 22mm - FIXED,0.00,56.38
TECH172,H&H Easyfit 30 mm,0.00,58.50
TECH167,H & H Easy Fit T/C 35 mm I/D,0.00,171.47
TECH165,Spine-Hinge Creaser - GUK - 35mm I/D,0.00,118.95
TECH163,Kisscutter - 36mm  DCM,0.00,66.03
TECH162,Ga Vehren (3rd) De-lux Tri-creaser,0.00,74.58
TECH161,Multi-Tool Nylon Sleeve Holder - 35mm - H&H,0.00,37.20
TECH160,Multi-Tool Blade Holder - 35mm - H&H,0.00,45.82
TECH159,Spine-Hinge Creaser - 36mm I/D (4 part 3-7mm) - Red Sp.,0.00,102.80
TECH158,Spine-Hinge Creaser - 35mm I/D (4 part 3-7mm) - Red Sp,0.00,102.80
TECH157,Horizon Easy Fit Tri-creaser - 65 mm O/D,0.00,166.55
TECH155,Multi-Tool Blade Holder - 35mm - GUK,0.00,98.71
TECH154,Multi-Tool Nylon Sleeve Holder - 35mm - GUK,0.00,38.10
TECH153,Horizon Easy Fit Tri-creaser - 50 mm O/D,0.00,94.61
TECH152,36mm Fast-Fit with Fixed Female Component,0.00,53.65
TECH150,Whizard Standard Tri-creaser,0.00,67.38
TECH149C,Collar for 35mm Fast Fit,0.00,13.00
TECH149,Fast-Fit 35mm Tri-Creaser with Fixed Female Component,0.00,68.83
TECH146M,GUK 35mm Fast Fit  Male Only,0.00,36.79
TECH146F,GUK 35mm Fast Fit female only,0.00,42.16
TECH146,GUK 35mm Fast Fit without lugs,0.00,155.94
TECH145,Pivano GT,0.00,74.00
TECH144M,H&H 35mm Fast Fit without lugs Male without Collar,0.00,26.87
TECH144L/C,H&H 35mm Locking Collar Only,0.00,25.00
TECH144F,H&H 35mm Fast Fit without lugs Female Only,0.00,84.00
TECH144,H&H 35mm Fast Fit without lugs,0.00,70.00
TECH143,Multi-Tool Nylon Sleeve Holder - 20mm - MB,0.00,73.03
TECH142,Multi-Tool Blade Holder - 20mm - MB,0.00,52.79
TECH141,GUK Easy Fit Tri-creaser - 59.4 mm O/D,0.00,28.80
TECH140,Multi-Tool Blade Holder - 20mm - Horizon,0.00,84.83
TECH139,Easy Fit T/C 35 mm Fixed Female Component,0.00,40.30
TECH138,Micro-Perforator - Rosback,0.00,154.08
TECH137F,Rollem Easy Fit Female Only,0.00,39.18
TECH137,Rollem Easy-Fit Tri-creaser,0.00,98.41
TECH136C,Rosback Easy Fit Locking Collar Only,0.00,10.83
TECH136,Rosback Easy Fit Tri-creaser,0.00,84.66
TECH135,C P Applicator - GUK 35 mm I/D - 59.44 O/D,0.00,129.28
TECH134M,MB Easy Fit 20mm Male Only,0.00,29.24
TECH134,MB Easy Fit Tri-creaser - 20 mm I/D,0.00,150.07
TECH129BH,Dick Moll Blade Holder,0.00,53.08
TECH129,Dick Moll Micro-Perforator - 30mm,0.00,134.70
TECH128B,6mm Muller Perfect Binder Female Hinge Component,0.00,0.00
TECH128,Muller Easy-Binder Pink-Split Creaser - 6mm Hinge,0.00,77.88
TECH127,Small Baum Fixed Female,0.00,47.47
TECH126,American-Binder Set - Assemble if needed,0.00,73.49
TECH125,Fidia De-lux 60 O/D 40m I/D,0.00,94.80
TECH124,Fidia Delux Tri-creaser - 64 mm I/D,0.00,196.27
TECH123,Large Baum Creasing Cassette without lugs & Female,0.00,77.14
TECH122,Multi-Tool Nylon Sleeve Holder - 25mm,0.00,25.25
TECH121,Multi-Tool Blade Holder - 25mm,0.00,56.56
TECH120,Multi-Tool Nylon Sleeve Holder - 30mm,0.00,28.75
TECH119,Multi-Tool Blade Holder - 30mm,0.00,65.53
TECH118,Zander De-lux Tri-creaser - 40 mm I/D,0.00,95.10
TECH117,Hohner Spine Creaser,0.00,367.05
TECH116A,Multi-Tool Black N/s 35mm,0.00,9.08
TECH116,Multi-Tool Nylon Sleeve Holder - 35mm,0.00,30.10
TECH115,Multi-Tool Nylon Sleeve Holder - 36mm,0.00,30.10
TECH114,Multi-Tool Blade Holder - 36mm,0.00,89.73
TECH113C,35mm H&H 2 set Multi Tool Black & Blue Nylon Sleeve Holder,0.00,45.73
TECH113,CP Applicator HH 35mm,0.00,421.96
TECH112,Micro-Perforator Standard - 36mm,0.00,50.94
TECH111G,35mm Floating Blade Holder Cartridge,0.00,21.99
TECH111,Multi-Tool Blade Holder - 35mm,0.00,51.22
TECH108,New Rollem Narrow,0.00,48.97
TECH104M,Male Only Easy Fit 30mm,0.00,35.32
TECH104F,Easy Fit 30mm Female Only,0.00,27.08
TECH104,Easy Fit Tri-creaser - 30 mm I/D,0.00,152.18
TECH103S/C,Tech103 Spacer and Collar,0.00,20.59
TECH103M,Male Only Easy Fit Component 25mm,0.00,34.64
TECH103F,Tech 103 Female Only,0.00,35.02
TECH103,Easy Fit Tri-creaser - 25 mm,0.00,88.40
TECH101,35mm GUK De-lux Tri-Creaser 35mm I/D 58.25 O/D,0.00,43.73
TECH100,Muller Binder 30mm - 4 Sets code 3 - assemble if needed,0.00,75.96
TECH095,Fidia Delux Tri-creaser 40 mm I/D,0.00,74.47
TECH094,Micro-Perforator - H&H - 30mm,0.00,56.72
TECH093F,Rebore Tech 093 Female to 32mm I/D,0.00,36.40
TECH093,H&H Delux Tri-creaser - 30 mm I/D,0.00,42.94
TECH088,Easy Fit Tri-creaser 36 mm Fixed Female Comp,0.00,51.70
TECH085,C P Applicator - 30 mm,0.00,398.51
TECH084,CP Applicator - 25 mm,0.00,549.63
TECH083,C P Applicator - 36 mm,0.00,129.28
TECH081,Horizon De-lux Tri-creaser - 25 mm I/D Binder Crease,0.00,40.38
TECH080,H & H Delux Tri-creaser - 40 mm I/D,0.00,64.88
TECH078F,CP Applicator 35mm Females,0.00,0.00
TECH078BH,CP Applicator Floating Blade Holder 35mm,0.00,18.09
TECH078,C P Applicator - 35 mm,0.00,280.29
TECH077,Gripper-Boss Support Rollers - 36mm I/D,0.00,32.19
TECH076,Micro-Perforator - 36mm,0.00,108.97
TECH075,Large Baum Micro Perf,0.00,74.28
TECH074,H&H 35mm Micro Perforator,0.00,126.38
TECH073,Muller Perfect Binder Quad-Creaser 30mm (assemble if needed),0.00,73.49
TECH072,Heidelberg ST-400 Spine-Creaser (floating),0.00,84.42
TECH071,Micro-Perforator - GUK - 35mm,0.00,134.26
TECH070H,Osaka Horseshoe,0.00,34.17
TECH070,Spine-Creaser for Osako Stitching Machine,0.00,64.12
TECH069,Easy Fit Tri-creaser 36 mm I/D,0.00,123.29
TECH068,Micro-Perforator for MB Machines,0.00,163.37
TECH067,Micro-Perforator - Horizon - 20mmOBSELETE,0.00,73.40
TECH066,Econocrease Delux Tri-creaser - 31 mm I/D,0.00,50.38
TECH064,Super De-lux Tri-creaser 36 mm I/D (assemble if necessary),0.00,46.38
TECH063,Old Muller Roller,0.00,39.88
TECH061,Pierce De-lux Tri-creaser,0.00,79.53
TECH060T,Top Unit Bearing Component,0.00,140.95
TECH060B,Bottom Unit Fixed Component,0.00,119.26
TECH060,Web Tri-creaser - Double Bearing Unit,0.00,275.38
TECH059,Large Stahl Easy-Fit Tri-Creaser - 50mm,0.00,86.59
TECH058,Micro Perforator - 25 mm,0.00,93.30
TECH057,Micro-Perforator - 30mm,0.00,114.75
TECH055,Stahl Standard Tri-creaser -20 mm I/D,0.00,42.38
TECH054,Shoei De-lux Tri-creaser 35 mm i/d 65 mm o/d,0.00,56.38
TECH052,MBO Delux Tri-creaser - 60 mm I/D,0.00,70.16
TECH051,Horizon 65mm Fast Fit with lugs,0.00,130.92
TECH050,Small Baum Micro Perf - 22mm,0.00,114.73
TECH049,Dancing Roller Unit,0.00,392.69
TECH048,Web Tri-Creaser - Single Bearing Unit - DO NOT ORDER,0.00,132.54
TECH047,Roto Crease De-lux Tri-creaser - 30 mm ID,0.00,42.38
TECH046,Horizon Delux Tri-creaser - 20 mm I/D,0.00,50.10
TECH045,Large Baum De-lux Tri-Creaser - 28mm I/D,0.00,76.23
TECH043,Morgana De-lux Tri-creaser - 15 mm I/D,0.00,82.38
TECH042F,MBO Delux Tri-Creaser Female Only,0.00,38.62
TECH042,MBO De-lux Tri-creaser - 30 mm I/D with 49.95 O/D,0.00,54.72
TECH041M,Male Only Easy Fit 35mm,0.00,42.65
TECH041F,Bearing Female Only fro 35mm Easy Fit,0.00,40.67
TECH041,35mm Easy-Fit Tri-creaser with Floating Female Component,0.00,175.85
TECH038,Small Baum De-lux Tri-Creaser - 22mm I/D,0.00,66.38
TECH037SHB,CSA - Short Bracket Feeder Unit,0.00,54.07
TECH037LGB,CSP - Long Bracket Feeder Unit,0.00,63.04
TECH037-13D-BR,Waste Stripper for CSM-AF Serbia,0.00,5.63
TECH037,CreaseStream Fixed Unit-Gearing Drive Shaft Auto-Feed MKII,0.00,53.60
TECH036,Rosback De-lux Tri-creaser - 25 mm I/D,0.00,59.91
TECH035,Bonelli De-lux Tri-creaser 30mm I/D (assemble if necessary),0.00,70.38
TECH033,H&H Delux Tri-creaser - 35 mm I/D,0.00,65.38
TECH032,Muller Single Wheel Spine-Creaser,0.00,69.20
TECH031SH,Micro-Perforation 35mm. Nylon Sleeve Holder Only,0.00,30.03
TECH031,Micro-Perforator - 35mm,0.00,112.49
TECH030,Sheridan Spine-Creaser,0.00,74.08
TECH029,Eurofold Standard Tri-creaser,0.00,24.38
TECH027,Standard Digi-Creaser for Cas 38/52,0.00,38.22
TECH025,Heidelberg ST-100 Spine-Creaser (floating),0.00,173.01
TECH024,Heidelberg ST-300 Spine-Creaser (fixed),0.00,40.08
TECH018,Shoei De-lux Tri-creaser 35 mm ID 55 mm O/D,0.00,54.38
TECH017,Rollem De-lux Tri-creaser,0.00,57.38
TECH016,Digi-Creaser for Jab Machine,0.00,32.38
TECH014,Muller Pony,0.00,72.48
TECH012,Bremmer Delux Tri-creaser - 40 mm I/D,0.00,50.38
TECH010,GUK Delux Tri-creaser 35 mm I/D 59.4 mm O/D,0.00,45.88
TECH009,Dick Moll De-lux Tri-creaser 30mmI/D (assemble if necessary),0.00,37.43
TECH008,Muller Arm Spine Creaser 1528/29,0.00,110.65
TECH006,MBO De-lux Tri-creaser - 30 mm I/D - assemble if needed,0.00,43.76
TECH005,Stahl Standard Tri-scorer-25 mm I/D,0.00,33.86
TECH004,"Stahl/Heidelberg, GUK Delux Tri-creaser - 25 mm I/D",0.00,108.72
TECH002M,Stahl/MBO Delux Tri-Creaser 35mm Male Only,0.00,36.60
TECH0020,Tech-ni-cover Tri-creaser for Muller,0.00,149.33
TECH002,Stahl/MBO De-lux Tri-creaser - 35 mm I/D,0.00,85.74
TECH001M,Stahl/MBO Standard Tri-Creaser 35m I/D Male Only,0.00,33.73
TECH001,Stahl/MBO Standard Tri-creaser-35 mm I/D,0.00,64.86
TECH-GB-CSJ/T,Guidance Rollers with grooves for CSJ (Top),0.00,7.20
TECH-GB-CSJ/B,Guidance Rollers without grooves for CSJ (Bottom),0.00,5.63
TECH-EF-FI/40-FP,Tri Creaser Easy Fit to fit Fidia 40mm shafts,0.00,0.00
TECH-EF-FI/40-FIX,Tri Creaser Fixed Easy Fit to fit Fidia 40mm shaft,0.00,148.09
TECH-CSP,CreaseStreamPlus Machine with table,0.00,2936.00
TECH-CSM-QF,CSM - Mini Quick-Feed MKII with Support rollers,0.00,1322.61
TECH-CSM-AF,CSM-Mini Auto-feed MkII with Support Rollers,0.00,1709.42
TECH-CSM,CreaseStream Mini Machine with support rollers,0.00,624.89
TECH-CSJ-US,CreaseStream Junior Machine with support roller - US Version,0.00,1037.68
TECH-CSJ,CreaseStreamJunior Machine with support rollers,0.00,893.93
TECH-CS-CF,CS - CardFolder with Mobile Table & Extension,0.00,4121.71
TECH-CP-HO/BQ500,CP Applicator to fit Horizon BQ500,0.00,0.00
TECH-CB-SH/65-01,Cutting Boss Shoei 65mm,0.00,22.50
TECH-CB-SH/55-01,Cutting Boss Shoei 55mm,0.00,19.50
TECH-CB-MB-01,Cutting Boss MB,0.00,15.18
TECH-CB-HO-01,Cutting Boss Horizon,0.00,15.50
TECH-CB-HH-30,Cutting Boss Herzog & Heymann - 30mm,0.00,15.69
TECH-CB-HH-02,Cutting Boss Herzog & Heymann - 45mm I/D,0.00,41.95
TECH-CB-HH-01,Cutting Boss Herzog & Heymann - 35mm,0.00,19.50
TECH-CB-GUK-01,Cutting Boss GUK,0.00,17.12
TECH-CB-BF/28-01,Cutting Boss Large Baum,0.00,19.50
TECH-CB-30-01,Cutting Boss 30mm,0.00,16.52
TECH-CB-25-01,Cutting Boss 25mm,0.00,15.50
TECH-CB-02,Cutting Boss -35mm,0.00,13.94
TECH-CB-01,Cutting Boss - 36mm,0.00,17.12
TECH-999-SS,H&H 35mm Section Score,0.00,0.00
TECH-790-SS,MBO 30mm Section Score,0.00,0.00
TECH-790-PH,MBO 30mm Pharma Score,0.00,25.00
TECH-693-FF,Fast Fit for B&R Moll Regal - Fixed Female,0.00,0.00
TECH-624-SS,Heidelberg Stahl 25mm Section Score,0.00,27.04
TECH-317-SS,35mm Section Score,0.00,70.00
TC-STA-VH/01-FP,Ga-Vehren Standard Tri-Creaser,420.00,45.00
TC-STA-ST/20-FP,DISCONTINUED - Stahl Standard Tri-Creaser - 20mm I/D,500.40,50.38
TC-STA-SM/35-FP,DISCONTINUED - Heidelberg Channel Score 35mm,656.40,52.18
TC-STA-HO/20-FP,OBSELETE,656.40,70.00
TC-STA-HH/30-FP,OBSELETE,656.40,60.00
TC-STA-HH/15-FP,H&H Standard Tri-Creaser - 15mm I/D,656.40,40.00
TC-STA-GW/FP,Whizard Standard Tri-Creaser,878.40,82.07
TC-STA-GA/02-FP,Ga-Vehren Standard Tri-Creaser - 02,540.00,55.00
TC-STA-EU/01-FP,DISCONTINUED - Eurofold Standard Tri-Creaser,0.00,50.00
TC-ROT-CR-30/FP,OBSELETE - Roto-Crease De-lux Tri-Creaser - 29.58mm I/D,878.40,56.71
TC-ROS-BA-20/FP,DISCONTINUED  -  Rosback De-lux Tri-Creaser - 25mm I/D,656.40,75.51
TC-RO-CA/25-FP,Rollem Canadian-Fold Tri-Creaser,900.00,97.66
TC-DIG-RO/20-FP, DISCONTINUED Rollem De-lux Tri-Creaser,656.40,100.00
TC-DEL-ZA/40-FP,Tri-Creaser Easy Fit to fit Zander 40mm shafts,1096.70,150.00
TC-DEL-ST/50-FP,OBSELETE,878.40,11.40
TC-DEL-ST/25-FP,"Stahl/Heidleberg, GUK De-lux Tri-Creaser-25mm I/D",878.40,127.08
TC-DEL-SM/35-FP,Stahl/MBO De-lux Tri-Creaser - 35mm I/D,878.40,117.13
TC-DEL-SH/65-FP,DISCONTINUED  -Shoei De-lux Tri-Creaser - 35mm I/D0-65mm O/D,878.40,100.00
TC-DEL-SH/55-FP,DISCONTINUED - Shoei De-lux Tri-Creaser - 35mm I/D 55mm O/D,878.40,65.98
TC-DEL-PE/26-FP,DISCONTINUED  -  To Fit Pierce Creasing Unit,656.40,94.69
TC-DEL-MG/15-FP,DISCONTINUED  -  Morgana De-lux Tri-Creaser - 15mm I/D,626.40,96.39
TC-DEL-MF/60-FP,Tri-Creaser Easy Fit to fit MBO 60mm shafts,1096.70,92.14
TC-DEL-MF/30-FP-2,MBO De-lux Tri-Creaser - 30mm I/D with 49.95mm O/D,878.40,76.09
TC-DEL-MF/30-FP,OBSELETE  -  Tri-Creaser 30mm MBO,878.40,70.00
TC-DEL-MB/20-FP,OBSELETE,878.40,80.00
TC-DEL-MA/32-FP,Mark Andy De-lux Tri-Creaser,1096.70,85.00
TC-DEL-HO/25-FP,Horizon De-lux Tri-Creaser - 25mm I/D (Binder Crease),878.40,48.98
TC-DEL-HO/20-FP-USA,20mm Horizon De-lux Tri-Creaser - USA,878.40,12.91
TC-DEL-HO/20-FP,Horizon De-lux Tri-Creaser - 20mm I/D,878.40,62.20
TC-DEL-HH/40-FP,DISCONTINUED - H&H De-lux Tri-Creaser - 40mm I/D,878.40,120.00
TC-DEL-HH/35-FP,OBSELETE,878.40,77.30
TC-DEL-HH/30-FP,DISCONTINUED - H&H De-lux Tri-Creaser - 30mm I/D,878.40,56.56
TC-DEL-GU/35-FP-2,OBSELETE,878.40,90.00
TC-DEL-GU/35-FP,DISCONTINUED -GUK De-lux Tri-Creaser - 35mm I/D & 59.4mm O/D,878.40,90.00
TC-DEL-GA/01-FP,"Tri-Creaser Easy Fit to fit Ga-Vehren 25.41mm or 1"" shafts",1096.70,89.98
TC-DEL-FI/64-FP,Tri-Creaser Easy Fit to fit Fidia 64mm shafts,1096.70,207.47
TC-DEL-FI/40-FP,Tri-Creaser Easy Fit to fit Fidia 40mm shafts,1096.70,106.58
TC-DEL-FE-25,Female Fixed Tri-Creaser Component - 25mm I/D,387.60,27.00
TC-DEL-EC/31-FP,DISCONTINUED - Econocrease De-lux Tri-Creaser - 31mm I/D,878.40,90.00
TC-DEL-DM/30-FP,DISCONTINUED - Dick Moll De-lux Tri-Creaser - 30mm I/D,878.40,70.00
TC-DEL-CA/FO-FP-USA/PC,Black Nylon Creasing Rib for USA Card Folder,38.00,11.00
TC-DEL-CA/FO-FP-USA,Card Folding Tri-Creaser - USA,1071.60,17.00
TC-DEL-BR/35-FP,DISCONTINUED - Bremmer De-lux Tri-Creaser - 40mm I/D,878.40,15.16
TC-DEL-BO/35-FP,Bonelli De-lux Tri-Creaser - 30mm I/D,878.40,120.00
TC-DEL-BF/28-FP,OBSELETE  -  Large Baum De-lux Tri-Creaser - 28mm I/D,878.40,63.82
TC-DEL-BF/22-FP,Small Baum De-lux Tri-Creaser - 22mm I/D,878.40,80.03
TC-DEL-BF/22-FIXED,Small Baum De-lux Tri-Creaser - 22mm - FIXED,878.40,100.00
TC-BRG-ST/25-FP,OBSELETE,480.00,70.00
