Product Code,Description,Sales Price,Last Cost Price (Std)
TWS-ID/HO20-5,Waste Stripper - 5mm Width - 20mm Inside Diameter,42.00,5.00
TWS-ID/HO20-4,Waste Stripper - 4mm Width - 20mm Inside Diameter,42.00,5.00
TWS-ID/HO20-3,Waste Stripper - 3mm Width - 20mm Inside Diameter,42.00,5.00
TWS-ID/HH45.5,Waste Stripper - 5mm Width - 45mm Inside Diameter,42.00,5.00
TWS-ID/HH45.4,Waste Stripper - 4mm Width - 45mm Inside Diameter,42.00,9.75
TWS-ID/HH45.3,Waste Stripper - 3mm Width - 45mm Inside Diameter,42.00,9.75
TWS-ID/HH30.5,Waste Stripper - 5mm Width - 30mm Inside Diameter,42.00,6.00
TWS-ID/HH30.4,Waste Stripper - 4mm Width - 30mm Inside Diameter,42.00,0.00
TWS-ID/HH30.3,Waste Stripper - 3mm Width - 30mm Inside Diameter,42.00,6.00
TWS-ID/HH25-M9-3,Waste Stripper For H&H 25mm,42.00,0.00
TWS-ID/HH25-M7-3,Waste Stripper For H&H 25mm,42.00,0.00
TWS-ID/GUK35-CREASER-5,GUK Creaser 35mm Waste Stripper - 5mm Thick,42.00,5.00
TWS-ID/GUK35-CREASER-4,GUK Creaser 35mm Waste Stripper - 4mm Thick,42.00,5.00
TWS-ID/GUK35-CREASER-3,GUK Creaser 35mm Waste Stripper - 3mm Thick,42.00,5.00
TWS-ID/GUK35-5,Waste Stripper - 5mm Width - 35mm Inside Diameter,42.00,20.00
TWS-ID/GUK35-4,Waste Stripper - 4mm Width - 35mm Inside Diameter,42.00,5.00
TWS-ID/GUK35-3,Waste Stripper - 3mm Width - 35mm Inside Diameter,42.00,5.00
TWS-ID/GUK35-1,Waste Stripper - 1mm Width - 35mm Inside Diameter,42.00,5.00
TWS-ID/GUK20-5,20mm GUK Waste Stripper - 5mm Thick,42.00,5.00
TWS-ID/GUK20-4,20mm GUK Waste Stripper - 4mm Thick,42.00,5.00
TWS-ID/GUK20-3,20mm GUK Waste Stripper - 3mm Thick,42.00,5.00
TWS-ID/DCM-5,Waste Stripper - 5mm Width - 36mm Inside Diameter,42.00,5.00
TWS-ID/DCM-4,Waste Stripper - 4mm Width - 36mm Inside Diameter,42.00,5.00
TWS-ID/DCM-3,Waste Stripper - 3mm Width - 36mm Inside Diameter,42.00,5.00
TWS-ID/AGOR-5,Agor Waste Stripper 5mm,42.00,1.50
TWS-ID/AGOR-4,Agor Waste Stripper 4mm,42.00,1.50
TWS-ID/AGOR-3,Agor Waste Stripper 3mm,42.00,1.50
TWS-ID/35-4,Waste Stripper - 4mm Width - 35mm Inside Diameter,42.00,5.00
TWS-ID/35-3,Waste Stripper - 3mm Width - 35mm Inside Diameter,42.00,5.00
TWS-ID/35,Waste Stripper - 5mm Width - 35mm Inside Diameter,42.00,6.00
TWS-ID/25-4,Waste Stripper - 4mm Width - 25mm Inside Diameter,42.00,5.00
TWS-ID/25-3,Waste Stripper - 3mm Width - 25mm Inside Diameter,42.00,5.00
TWS-ID/25,Waste Stripper - 5mm Width - 25mm Inside Diameter,42.00,5.00
TWS-ID-HO/30,DO NOT USE THIS CODE,42.00,0.00
TS-STA-ST/25-FP,OBSELETE,656.40,42.68
TS-25-BR,OBSELETE,102.00,16.00
TRI-WEB-05,Web Spine & Hinge Fixed at 6mm,2996.40,358.68
TRI-WEB-04,Muller Web Press Tri-Creaser,1436.40,0.00
TRI-WEB-03,100mm O/D Web Creaser,1316.40,154.65
TRI-WEB-02,Web Tri-Creaser - Double Floating Unit,1316.40,333.82
TRI-WEB-01,Web Tri-Creaser - Single Bearing Unit,1316.40,298.45
THIN-GB/36-01,36mm Narrow Gripper Boss Support Rollers,102.00,33.47
THIN-GB-01,35mm Gripper Boss for Demo Units,0.00,34.48
TECH575,Quad-Creaser to fit Horizon Binder SB15,0.00,0.00
TECH574,Pratham Pharma score 20mm,0.00,0.00
TECH573,Pratham Pharma score 30mm,0.00,0.00
TECH572,Pratham Pharma score 20mm,0.00,0.00
TECH571,20mm Tri-Creaser Fast Fit Fixed Orange Channels Only,0.00,0.00
TECH570,Vijuk/GUK Pharma Score,0.00,0.00
TECH569,Fast Fit DSF Duplo DC-746,0.00,0.00
TECH568,End Flap Creaser for Kolbus,0.00,0.00
TECH566,Adjustable Wellbound,0.00,305.53
TECH565,Quad Creaser for Muller VareoBinder 30mm,0.00,197.80
TECH563,28mm Wellbound 59.5mm O/D,0.00,237.73
TECH562,Double Score Female Attachmentb for MB,0.00,79.45
TECH561,25mm Narrow Fast Fit Single Channel Female,0.00,985.61
TECH560,Modified Version of TECH068,0.00,163.37
TECH550,Horizon 24.8 Micro Perf,0.00,161.30
TECH549,Multi-Tool H&H 25,0.00,101.25
TECH548,Wohlenberg 6 Creaser,0.00,2161.53
TECH545,Tri Creaser Fast Fit Rosback Advance Female Only,0.00,92.90
TECH544,CSM - Accelerator Shaft Support,55.00,19.14
TECH543,Dick Moll Adjustable Spine & Hinge Creaser 29.62mm,0.00,402.17
TECH541,CSM 10mm Hinge Creaser,0.00,0.00
TECH539,"Kolbus 114mO/D Quad Creaser, support Rollers & Fixed 9m Hing",0.00,1990.41
TECH536,Duplo Male Holder Arm,0.00,64.78
TECH535,12mm Duplo Cassette DSF Style,0.00,52.60
TECH534,Duplo Cassette DSF,0.00,81.64
TECH533,Muller Allegro Lay Flat Attachment,0.00,586.78
TECH531,Quad Creaser for Muller Alegro,0.00,636.49
TECH528,Duplo Multi-Tool 10.5mm,0.00,370.90
TECH525,Dick Moll Female. No Gripper,0.00,58.92
TECH522,Smyth Fast Fit 30/64mm,0.00,161.54
TECH519,8mm Hinge Creaser,0.00,154.29
TECH518,New Style Fast Fit 30mm Unground MBO,0.00,158.99
TECH517,ESKO 60mm Perf Holder,0.00,154.29
TECH513,Horizon BQ470 7mm Hinge 2 Shaft System,0.00,261.16
TECH510TOP,Card Creaser Top Perf Holder & 40.7m Nylon,0.00,49.36
TECH509ALU,Tech509 KIT. Aluminium with soft coating. Black,0.00,199.62
TECH509,Spine & Hinge Creaser for Cardcreaser,0.00,201.89
TECH508,Easy Fit 7mm Hinge,0.00,389.76
TECH503,35mm Inner Sleeve Adapter Set for 30mm Shaft,0.00,198.68
TECH502,Horizon 65mm Black & Blue Nylon Sleeve Holder Set,0.00,388.97
TECH501,Horizon 65mm Multi Tool Blade Holder,0.00,390.89
TECH500,MBO 40mm CP Applicator,0.00,537.38
TECH499F,Orange/Blue Female 35,0.00,84.44
TECH499,Fast Fit 35mm Tri Creaser with Orange/blue Female Channels o,0.00,94.23
TECH498,Horizon Stitchliner MKIII Spine Creaser FULL KIT,0.00,54.60
TECH497,Tri Creaser Fast Fit Petratto Advance System,0.00,0.00
TECH496,GUK 59.4 O/D Double Score Female Attachment,0.00,80.30
TECH495,H&H 35mm Double Score Female Attachment,0.00,77.24
TECH493,Double Score Female Attachment Rollem,0.00,113.67
TECH492,Double Score Female Attachment 40mm,0.00,90.19
TECH491,Tri-Creaser FF Horizon 20m Advance Female KIT,0.00,104.66
TECH488P,CP Applicator Horizon 20/50 .Perforator Holder & Nylons Only,0.00,117.73
TECH488,CP Applicator 20/50,0.00,210.80
TECH487Y,Plastic Creaser Duplo-Yellow,0.00,15.28
TECH487W,Plastic Creaser Duplo White,0.00,15.85
TECH487B,Plastic Creaser Duplo Black,0.00,15.97
TECH487,Duplo Spine Creaser,0.00,126.75
TECH485,CSM 6mm Hinge Creaser,0.00,83.58
TECH484F,Females only. H&H 30mm Fix,0.00,0.00
TECH484,H&H 30mm Fix. With X3 Females,0.00,101.24
TECH483,X3 Females only for H&H 30mm,0.00,0.00
TECH482,Muller Female Creaser,0.00,177.72
TECH481,Fast Fit Ga-Vehren,0.00,138.66
TECH480,Double Score T/C Fast Fit. Short Version,0.00,37.24
TECH479,CSM Rib/Nylom Sleeve Holder. Male,0.00,30.03
TECH478,Petratto Support Rollers. Pair,0.00,36.66
TECH477,Male 35mm Stahl Fast Fit,0.00,52.77
TECH476,Double Score Female Attachment 35mm.,0.00,110.80
TECH475,Male 30mm MBO Fast Fit,0.00,43.45
TECH474,Double Score Female Atchment 30mm. Fast Fit & Easy Fit,0.00,54.57
TECH473,Male 25mm Stahl Fast Fit,0.00,37.83
TECH472,CSM Doublescore T/C Fast Fit 25mm,0.00,52.25
TECH470,Micro-Perf Device for Pro,0.00,104.77
TECH469,Tri Creaser Fast Fit for Creasestream Pro 30mm,0.00,51.75
TECH468,Micro-Perforator - Petratto 40mm,0.00,183.74
TECH467M,Dick Moll Male,0.00,60.19
TECH467F,Dick Moll Fast Fit Bearing Female Only,0.00,56.92
TECH467,Fast Fit Dick Moll with Bearings,0.00,81.11
TECH466,New Style Female GUK. Orange/blue Channels only,0.00,74.87
TECH464,Baum 22 CP Applicator,0.00,244.44
TECH463,New Fast Fit  I/D24.8mm O/D 40.2mm,0.00,70.00
TECH461F,Dick Moll Fast Fit Fixed Female only,0.00,48.42
TECH461,Dick Moll Fast Fit Fixed,0.00,101.69
TECH460,Roto Score Fast Fit,0.00,93.31
TECH459,Wohlenberg 98. End Flap Creaser (pair),0.00,345.43
TECH457,Fast Fit Pierce. Fixed Female,0.00,72.43
TECH456,Fast Fit H&H 25mm,0.00,52.86
TECH455,CSM-Nylon Female Holders & Nylon  Females CREASESTREAM,0.00,31.09
TECH454,Double Score Female Attachment 25mmTECH-NI-FOLD FF & EF,0.00,72.06
TECH453,Support Collars for Baum fast Fit 22 ECO(pair),0.00,38.56
TECH452,Baum Fast Fit 22 ECO,0.00,51.51
TECH451,CSP 35mm Easy Fit 3 crease at 20mm apart,0.00,279.09
TECH450,CSP 35mm Easy Fit 5 Crease 58O/D,0.00,158.51
TECH449,Easy Fit Fidia 45mm,0.00,57.08
TECH448,Female Rollers,0.00,54.00
TECH447RED,Perf Wheel Holder 3-4127100. Prototype,350.00,0.00
TECH447,Kongberg 60mm Perf,0.00,49.41
TECH446,Rollem Support Rollers (pair),0.00,50.62
TECH445,40mm 2 Set Multi-Tool Black & Blue Nylon Sleeve Holders,0.00,74.62
TECH444,1 Set at 7.5mm Hinge (part Tech014),0.00,154.40
TECH443,Panda 2 Double Crease 6mm Hinge,0.00,640.20
