Product Code,Description,Sales Price,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
CK-SH/55-02,Long Cutting Knife - 61mm Outer Diameter,45,8.55,consumable,Cutting Knife,81,32,71.1,,,32.00,71.1,01/10/2014
CK-MF/40-03,Long Cutting Knife - 64mm Outer Diameter,45,26.98,consumable,Cutting Knife,40,32,71.1,,,32.00,71.1,05/11/2024
CK-MB-03,Long Cutting Knife - 45.5mm Outer Diameter,45,9.75,consumable,Cutting Knife,78.3,32,71.1,,,32.00,71.1,15/06/2023
CK-HH/30-3,Long Cutting Knife - 52mm Outer Diameter,45,20.75,consumable,Cutting Knife,53.9,32,71.1,,,32.00,71.1,18/10/2023
CK-GUK-03,Long Cutting Knife - 65.3mm Outer Diameter,45,9.75,consumable,Cutting Knife,78.3,32,71.1,,,32.00,71.1,16/05/2023
CK-BF/28-03,Long Cutting Knife - 61.65mm Outer Diameter,45,8.42,consumable,Cutting Knife,81.3,32,71.1,,,32.00,71.1,06/12/2016
CK-30-03,Long Cutting Knife - 56mm Outer Diameter,45,19.98,consumable,Cutting Knife,55.6,32,71.1,,,32.00,71.1,24/04/2025
CK-25-03,Long Cutting Knife - 50mm Outer Diameter,45,11.26,consumable,Cutting Knife,75,32,71.1,,,32.00,71.1,04/11/2025
CK-03,Long Cutting Knife - 64mm Outer Diameter,45,12.75,consumable,Cutting Knife,71.7,32,71.1,,,32.00,71.1,21/07/2025
CK-HH/45-01,Cutting Knife - 72mm Outer Diameter,51,14,consumable,Cutting Knife,72.5,43,84.3,,,43.00,84.3,09/07/2025
CK-HH/45-02,Long Cutting Knife - 73.5mm Outer Diameter,54,14,consumable,Cutting Knife,74.1,46,85.2,,,46.00,85.2,17/04/2013
CK-BF/28-02,Kiss-Cutting Knife,42,18,consumable,Cutting Knife,57.1,36.45,86.8,,,36.45,86.8,02/07/2021
CK-HH/25-01,Cutting Knife 40m O/D,42,23.5,consumable,Cutting Knife,44,42,100,,,42.00,100.0,29/06/2023
CK-HH/25-03,Cutting Knife 42mm O/D,42,28.75,consumable,Cutting Knife,31.5,,,,,,,01/12/2023
SC-DSF/HOR-25-NY-Y,Spine-Creaser Advance Yellow Female Receiver Ring,42,9.12,consumable,Female Receiver Ring,78.3,27.81,66.2,,,27.81,66.2,01/04/2025
SC-DSF/HOR-25-NY-R,Spine-Creaser Advance Red Female Receiver Ring,42,8.65,consumable,Female Receiver Ring,79.4,27.81,66.2,,,27.81,66.2,01/04/2025
SC-DSF/HOR-25-NY-B,Spine-Creaser Advance Blue Female Receiver Ring,42,12.66,consumable,Female Receiver Ring,69.9,27.81,66.2,,,27.81,66.2,01/04/2025
RS-NY/FE-Y,Tri-Creaser Advance Yellow Female Receiver Ring,42,8.16,consumable,Female Receiver Ring,80.6,27.81,66.2,,,27.81,66.2,26/02/2021
RS-NY/FE-R,Tri-Creaser Advance Red Female Receiver Ring,42,8.52,consumable,Female Receiver Ring,79.7,27.81,66.2,,,27.81,66.2,27/07/2015
RS-NY/FE-B,Tri-Creaser Advance Blue Female Receiver Ring,42,8.11,consumable,Female Receiver Ring,80.7,27.81,66.2,,,27.81,66.2,14/09/2021
RS-NY/FE,Tri-Creaser Advance Black Female Receiver Ring,42,8.03,consumable,Female Receiver Ring,80.9,27.81,66.2,,,27.81,66.2,27/08/2019
FF-DSF/ROS-NY-Y,Tri Creaser Advance Yellow Receiver Ring,42,17.09,consumable,Female Receiver Ring,59.3,27.81,66.2,,,27.81,66.2,
FF-DSF/ROS-NY-O,Tri Creaser Advance Orange Receiver Ring,42,17.96,consumable,Female Receiver Ring,57.2,27.81,66.2,,,27.81,66.2,
FF-DSF/ROS-NY-B,Tri Creaser Advance Blue Female Receiver Ring,42,16.36,consumable,Female Receiver Ring,61,27.81,66.2,,,27.81,66.2,
FF-DSF/RO-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,42,7.2,consumable,Female Receiver Ring,82.9,27.81,66.2,,,27.81,66.2,08/01/2025
FF-DSF/RO-NY-R,Tri-Creaser Advance Red Female Receiver Ring,42,6.69,consumable,Female Receiver Ring,84.1,27.81,66.2,,,27.81,66.2,10/01/2024
FF-DSF/RO-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,42,6.65,consumable,Female Receiver Ring,84.2,27.81,66.2,,,27.81,66.2,10/01/2024
FF-DSF/PET-40-NY-Y,Petratto 40mm Double Score Female Creasing Ring  Yellow,42,15.43,consumable,Female Receiver Ring,63.3,27.81,66.2,,,27.81,66.2,05/02/2024
FF-DSF/PET-40-NY-R,Petratto 40mm Double Score Female Creasing Ring. Red,42,8.48,consumable,Female Receiver Ring,79.8,27.81,66.2,,,27.81,66.2,07/03/2022
FF-DSF/PET-40-NY-B,Petratto 40mm Double Score Female Creasing Ring .Blue,42,13.73,consumable,Female Receiver Ring,67.3,27.81,66.2,,,27.81,66.2,13/12/2024
FF-DSF/HO-20-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,42,8.13,consumable,Female Receiver Ring,80.6,27.81,66.2,,,27.81,66.2,15/02/2024
FF-DSF/HO-20-NY-R,Tri-Creaser Advance Red Female Receiver Ring,42,8.19,consumable,Female Receiver Ring,80.5,27.81,66.2,,,27.81,66.2,15/02/2024
FF-DSF/HO-20-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,42,8.13,consumable,Female Receiver Ring,80.6,27.81,66.2,,,27.81,66.2,15/02/2024
FF-DSF/HH-35-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,42,4.57,consumable,Female Receiver Ring,89.1,27.81,66.2,,,27.81,66.2,07/01/2022
FF-DSF/HH-35-NY-W,Tri-Creaser Advance White Female Receiver Ring,42,8.48,consumable,Female Receiver Ring,79.8,27.81,66.2,,,27.81,66.2,12/10/2018
FF-DSF/HH-35-NY-R,Tri-Creaser Advance Red Female Receiver Ring,42,4.66,consumable,Female Receiver Ring,88.9,27.81,66.2,,,27.81,66.2,06/07/2018
FF-DSF/HH-35-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,42,4.65,consumable,Female Receiver Ring,88.9,27.81,66.2,,,27.81,66.2,19/09/2018
FF-DSF/HH-35-NY,Tri-Creaser Advance Black Female Receiver Ring,42,4.73,consumable,Female Receiver Ring,88.7,27.81,66.2,,,27.81,66.2,
FF-DSF/GU-35-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,42,8.2,consumable,Female Receiver Ring,80.5,27.81,66.2,,,27.81,66.2,17/03/2021
FF-DSF/GU-35-NY-W,Tri-Creaser Advance White Female Receiver Ring,42,7.57,consumable,Female Receiver Ring,82,27.81,66.2,,,27.81,66.2,
FF-DSF/GU-35-NY-R,Tri-Creaser Advance Red Female Receiver Ring,42,8.04,consumable,Female Receiver Ring,80.9,27.81,66.2,,,27.81,66.2,22/12/2020
FF-DSF/GU-35-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,42,7.64,consumable,Female Receiver Ring,81.8,27.81,66.2,,,27.81,66.2,19/04/2021
FF-DSF/35-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,42,9.53,consumable,Female Receiver Ring,77.3,27.81,66.2,,,27.81,66.2,24/07/2025
FF-DSF/35-NY-W,Tri-Creaser Advance White Female Receiver Ring,42,8.72,consumable,Female Receiver Ring,79.2,27.81,66.2,,,27.81,66.2,03/06/2025
