Action Required,Product Code,Description,New Sales Price,Cost Price,Full Price Margin %,, ,New Distributor Price,Cost Price ,Distributor Margin %,  ,   ,Type,Category,    ,Distributor %
,CK-GUK-01,Cutting Knife - 63mm Outer Diameter,99,19.98,59.6,,,29.7,19.98,32.7,,,consumable,Cutting Knife,,60
,CK-BF/28-01,Cutting Knife - 60.15mm Outer Diameter,99,8.42,83,,,29.7,8.42,71.6,,,consumable,Cutting Knife,,60
,CK-BF/22-02,Kiss-Cutting Knife,99,8.42,83,,,29.7,8.42,71.6,,,consumable,Cutting Knife,,60
,CK-30-02,Kiss-Cutting Knife,99,7.72,84.4,,,29.7,7.72,74,,,consumable,Cutting Knife,,60
,CK-30-01,Cutting Knife - 52.85mm Outer Diameter,99,11.48,76.8,,,29.7,11.48,61.3,,,consumable,Cutting Knife,,60
,CK-25-02,Kiss-Cutting Knife,99,7.6,84.6,,,29.7,7.6,74.4,,,consumable,Cutting Knife,,60
,CK-25-01,Cutting Knife - 47.5mm Outer Diameter,99,11.88,76,,,29.7,11.88,60,,,consumable,Cutting Knife,,60
,CK-02,Kiss-Cutting Knife,99,7.82,84.2,,,29.7,7.82,73.7,,,consumable,Cutting Knife,,60
,CK-01(62.5MM),Cutting Knife - 62.5mm Outer Diameter,99,13.1,73.5,,,29.7,13.1,55.9,,,consumable,Cutting Knife,,60
,CK-01,Old Style 60.67mm O/D Cutting Knives,99,12.5,74.7,,,29.7,12.5,57.9,,,consumable,Cutting Knife,,60
,CK-02-V-STYLE,Double Bevelled Kiss-Cutting Knife,99,7.48,85.8,,,31.5,7.48,76.3,,,consumable,Cutting Knife,,60
,CK-SH/65-02,Long Cutting Knife - 71mm Outer Diameter,99,9.95,81.3,,,32,9.95,68.9,,,consumable,Cutting Knife,,60
,CK-SH/55-02,Long Cutting Knife - 61mm Outer Diameter,99,8.55,84,,,32,8.55,73.3,,,consumable,Cutting Knife,,60
,CK-MF/40-03,Long Cutting Knife - 64mm Outer Diameter,99,26.98,49.4,,,32,26.98,15.7,,,consumable,Cutting Knife,,60
,CK-MB-03,Long Cutting Knife - 45.5mm Outer Diameter,99,9.75,81.7,,,32,9.75,69.5,,,consumable,Cutting Knife,,60
,CK-HH/30-3,Long Cutting Knife - 52mm Outer Diameter,99,20.75,61.1,,,32,20.75,35.2,,,consumable,Cutting Knife,,60
,CK-GUK-03,Long Cutting Knife - 65.3mm Outer Diameter,99,9.75,81.7,,,32,9.75,69.5,,,consumable,Cutting Knife,,60
,CK-BF/28-03,Long Cutting Knife - 61.65mm Outer Diameter,99,8.42,84.2,,,32,8.42,73.7,,,consumable,Cutting Knife,,60
,CK-30-03,Long Cutting Knife - 56mm Outer Diameter,99,19.98,62.5,,,32,19.98,37.6,,,consumable,Cutting Knife,,60
,CK-25-03,Long Cutting Knife - 50mm Outer Diameter,99,11.26,78.9,,,32,11.26,64.8,,,consumable,Cutting Knife,,60
,CK-03,Long Cutting Knife - 64mm Outer Diameter,99,12.75,76.1,,,32,12.75,60.2,,,consumable,Cutting Knife,,60
,CK-BF/28-02,Kiss-Cutting Knife,99,18,70.4,,,36.45,18,50.6,,,consumable,Cutting Knife,,60
,CK-HH/25-01,Cutting Knife 40m O/D,99,23.5,66.4,,,42,23.5,44,,,consumable,Cutting Knife,,60
,CK-HH/45-01,Cutting Knife - 72mm Outer Diameter,99,14,80.5,,,43,14,67.4,,,consumable,Cutting Knife,,60
,CK-HH/45-02,Long Cutting Knife - 73.5mm Outer Diameter,99,14,81.7,,,46,14,69.6,,,consumable,Cutting Knife,,60
,TC-DEL-MG/15-FP,DISCONTINUED  -  Morgana De-lux Tri-Creaser - 15mm I/D,696.67,96.39,86.2,,,418,96.39,76.9,,,tool,Deluxe Tri-Creaser,,60
NEEDS PRICING,TC-STA-GW/FP,Whizard Standard Tri-Creaser,878.4,82.07,90.7,,,,82.07,,,,tool,Deluxe Tri-Creaser,,
NEEDS PRICING,TC-ROT-CR-30/FP,OBSELETE - Roto-Crease De-lux Tri-Creaser - 29.58mm I/D,878.4,56.71,93.5,,,,56.71,,,,tool,Deluxe Tri-Creaser,,
NEEDS PRICING,TC-RO-CA/25-FP,Rollem Canadian-Fold Tri-Creaser,878.4,97.66,89.1,,,,97.66,,,,tool,Deluxe Tri-Creaser,,
