Product Code,Description,Original Sales Price,New Sales Price,Difference,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
TECH-317-SS,35mm Section Score,0,0,,70,consumable,NEGLECTED,,,,,,,,
TC-STA-VH/01-FP,Ga-Vehren Standard Tri-Creaser,420,420,0.00,45,consumable,NEGLECTED,89.3,,,,,,,
TC-STA-ST/20-FP,DISCONTINUED - Stahl Standard Tri-Creaser - 20mm I/D,500.4,500.4,0.00,50.38,consumable,,89.9,,,,,,,03/03/2008
TC-STA-SM/35-FP,DISCONTINUED - Heidelberg Channel Score 35mm,656.4,656.4,0.00,52.18,consumable,,92.1,350,53.3,350,53.3,393.84,60.0,03/09/2008
TC-STA-HO/20-FP,OBSELETE,656.4,656.4,0.00,70,consumable,,89.3,,,,,,,16/02/2007
TC-STA-HH/30-FP,OBSELETE,656.4,656.4,0.00,60,consumable,,90.9,,,,,,,15/09/2008
TC-STA-HH/15-FP,H&H Standard Tri-Creaser - 15mm I/D,656.4,656.4,0.00,40,consumable,NEGLECTED,93.9,,,,,,,
TC-STA-GW/FP,Whizard Standard Tri-Creaser,878.4,878.4,0.00,82.07,tool,Deluxe Tri-Creaser,90.7,,,,,,,19/09/2012
TC-STA-GA/02-FP,Ga-Vehren Standard Tri-Creaser - 02,540,540,0.00,55,consumable,NEGLECTED,89.8,,,,,,,
TC-STA-EU/01-FP,DISCONTINUED - Eurofold Standard Tri-Creaser,0,0,,50,consumable,,,,,,,,,16/08/2010
TC-ROT-CR-30/FP,OBSELETE - Roto-Crease De-lux Tri-Creaser - 29.58mm I/D,878.4,878.4,0.00,56.71,tool,Deluxe Tri-Creaser,93.5,,,,,,,13/03/2012
TC-ROS-BA-20/FP,DISCONTINUED  -  Rosback De-lux Tri-Creaser - 25mm I/D,656.4,656.4,0.00,75.51,consumable,,88.5,,,,,,,21/10/2015
TC-RO-CA/25-FP,Rollem Canadian-Fold Tri-Creaser,900,900,0.00,97.66,tool,Deluxe Tri-Creaser,89.1,,,,,,,22/05/2006
TC-DIG-RO/20-FP,DISCONTINUED Rollem De-lux Tri-Creaser,656.4,696.67,40.27,100,consumable,,84.8,418,63.7,418,63.7,418.00,60.0,06/10/2014
TC-DEL-ZA/40-FP,Tri-Creaser Easy Fit to fit Zander 40mm shafts,1096.7,1096.7,0.00,150,consumable,NEGLECTED,86.3,478,43.6,530,48.3,658.02,60.0,
TC-DEL-ST/50-FP,OBSELETE,878.4,878.4,0.00,11.4,tool,Deluxe Tri-Creaser,98.7,478,54.4,488,55.6,527.04,60.0,29/11/2007
TC-DEL-ST/25-FP,"Stahl/Heidleberg, GUK De-lux Tri-Creaser-25mm I/D",878.4,878.4,0.00,127.08,tool,Deluxe Tri-Creaser,85.5,418,47.6,418,47.6,527.04,60.0,21/12/2023
TC-DEL-SM/35-FP,Stahl/MBO De-lux Tri-Creaser - 35mm I/D,878.4,878.4,0.00,117.13,tool,Deluxe Tri-Creaser,86.7,418,47.6,418,47.6,527.04,60.0,20/06/2024
TC-DEL-SH/65-FP,DISCONTINUED  -Shoei De-lux Tri-Creaser - 35mm I/D0-65mm O/D,878.4,878.4,0.00,100,tool,Deluxe Tri-Creaser,88.6,418,47.6,418,47.6,527.04,60.0,09/11/2006
TC-DEL-SH/55-FP,DISCONTINUED - Shoei De-lux Tri-Creaser - 35mm I/D 55mm O/D,878.4,878.4,0.00,65.98,tool,Deluxe Tri-Creaser,92.5,418,47.6,418,47.6,527.04,60.0,28/11/2018
TC-DEL-PE/26-FP,DISCONTINUED  -  To Fit Pierce Creasing Unit,656.4,656.4,0.00,94.69,consumable,,85.6,,,,,,,15/03/2013
TC-DEL-MG/15-FP,DISCONTINUED  -  Morgana De-lux Tri-Creaser - 15mm I/D,626.4,696.67,70.27,96.39,tool,Deluxe Tri-Creaser,84.6,418,66.7,418,66.7,418.00,60.0,11/06/2010
TC-DEL-MF/60-FP,Tri-Creaser Easy Fit to fit MBO 60mm shafts,1096.7,1096.7,0.00,92.14,tool,Easy-Fit Tri-Creaser,91.6,478,43.6,530,48.3,658.02,60.0,21/02/2020
TC-DEL-MF/30-FP-2,MBO De-lux Tri-Creaser - 30mm I/D with 49.95mm O/D,878.4,878.4,0.00,76.09,tool,Deluxe Tri-Creaser,91.3,418,47.6,418,47.6,527.04,60.0,21/12/2023
TC-DEL-MF/30-FP,OBSELETE  -  Tri-Creaser 30mm MBO,878.4,878.4,0.00,70,tool,Deluxe Tri-Creaser,92.0,,,,,,,17/09/2007
TC-DEL-MB/20-FP,OBSELETE,878.4,878.4,0.00,80,consumable,NEGLECTED,90.9,,,,,,,
TC-DEL-MA/32-FP,Mark Andy De-lux Tri-Creaser,1096.7,1096.7,0.00,85,tool,Easy-Fit Tri-Creaser,92.2,,,,,,,02/03/2006
TC-DEL-HO/25-FP,Horizon De-lux Tri-Creaser - 25mm I/D (Binder Crease),878.4,878.4,0.00,48.98,tool,Deluxe Tri-Creaser,94.4,,,,,,,19/01/2010
TC-DEL-HO/20-FP-USA,20mm Horizon De-lux Tri-Creaser - USA,878.4,878.4,0.00,12.91,tool,Deluxe Tri-Creaser,98.5,,,,,,,19/03/2007
TC-DEL-HO/20-FP,Horizon De-lux Tri-Creaser - 20mm I/D,878.4,878.4,0.00,62.2,tool,Deluxe Tri-Creaser,92.9,,,,,,,15/06/2016
TC-DEL-HH/40-FP,DISCONTINUED - H&H De-lux Tri-Creaser - 40mm I/D,878.4,878.4,0.00,120,consumable,NEGLECTED,86.3,,,,,,,
TC-DEL-HH/35-FP,OBSELETE,878.4,878.4,0.00,77.3,tool,Deluxe Tri-Creaser,91.2,,,,,,,16/09/2009
TC-DEL-HH/30-FP,DISCONTINUED - H&H De-lux Tri-Creaser - 30mm I/D,878.4,878.4,0.00,56.56,tool,Deluxe Tri-Creaser,93.6,418,47.6,418,47.6,527.04,60.0,10/02/2010
TC-DEL-GU/35-FP-2,OBSELETE,878.4,878.4,0.00,90,tool,Deluxe Tri-Creaser,89.8,,,,,,,26/04/2007
TC-DEL-GU/35-FP,DISCONTINUED -GUK De-lux Tri-Creaser - 35mm I/D & 59.4mm O/D,878.4,878.4,0.00,90,tool,Deluxe Tri-Creaser,89.8,418,47.6,418,47.6,527.04,60.0,30/04/2013
TC-DEL-GA/01-FP,"Tri-Creaser Easy Fit to fit Ga-Vehren 25.41mm or 1"" shafts",1096.7,1096.7,0.00,89.98,tool,Easy-Fit Tri-Creaser,91.8,478,43.6,530,48.3,658.02,60.0,21/01/2022
TC-DEL-FI/64-FP,Tri-Creaser Easy Fit to fit Fidia 64mm shafts,1096.7,1096.7,0.00,207.47,tool,Easy-Fit Tri-Creaser,81.1,478,43.6,530,48.3,658.02,60.0,05/06/2015
TC-DEL-FI/40-FP,Tri-Creaser Easy Fit to fit Fidia 40mm shafts,1096.7,1096.7,0.00,106.58,tool,Easy-Fit Tri-Creaser,90.3,478,43.6,530,48.3,658.02,60.0,14/05/2025
TC-DEL-FE-25,Female Fixed Tri-Creaser Component - 25mm I/D,387.6,387.6,0.00,27,consumable,NEGLECTED,93.0,,,,,,,
TC-DEL-EC/31-FP,DISCONTINUED - Econocrease De-lux Tri-Creaser - 31mm I/D,878.4,878.4,0.00,90,consumable,NEGLECTED,89.8,,,,,,,
TC-DEL-DM/30-FP,DISCONTINUED - Dick Moll De-lux Tri-Creaser - 30mm I/D,878.4,878.4,0.00,70,tool,Deluxe Tri-Creaser,92.0,,,,,,,14/09/2007
TC-DEL-CA/FO-FP-USA/PC,Black Nylon Creasing Rib for USA Card Folder,38,38,0.00,11,consumable,Plastic Creasing Band,71.1,,,,,,,07/09/2012
TC-DEL-CA/FO-FP-USA,Card Folding Tri-Creaser - USA,1071.6,1071.6,0.00,17,tool,Deluxe Tri-Creaser,98.4,,,,,,,13/11/2007
TC-DEL-BR/35-FP,DISCONTINUED - Bremmer De-lux Tri-Creaser - 40mm I/D,878.4,878.4,0.00,15.16,tool,Deluxe Tri-Creaser,98.3,,,,,,,30/03/2012
TC-DEL-BO/35-FP,Bonelli De-lux Tri-Creaser - 30mm I/D,878.4,878.4,0.00,120,tool,Deluxe Tri-Creaser,86.3,418,47.6,418,47.6,527.04,60.0,03/02/2012
TC-DEL-BF/28-FP,OBSELETE  -  Large Baum De-lux Tri-Creaser - 28mm I/D,878.4,878.4,0.00,63.82,tool,Deluxe Tri-Creaser,92.7,,,,,,,23/01/2012
TC-DEL-BF/22-FP,Small Baum De-lux Tri-Creaser - 22mm I/D,878.4,878.4,0.00,80.03,tool,Deluxe Tri-Creaser,90.9,418,47.6,418,47.6,527.04,60.0,05/02/2015
TC-DEL-BF/22-FIXED,Small Baum De-lux Tri-Creaser - 22mm - FIXED,878.4,878.4,0.00,100,tool,Deluxe Tri-Creaser,88.6,,,,,,,19/09/2008
TC-BRG-ST/25-FP,OBSELETE,480,480,0.00,70,consumable,NEGLECTED,85.4,,,,,,,
TC-25-BR,Female Bearing Tri-Creaser Component - 25mm I/D,331.2,331.2,0.00,30,consumable,,90.9,,,,,,,18/02/2010
SS-TECH-WRAPS,Blue Tech-ni-Fold Case Wraps,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-TECH-ROL-BAN,Tech-ni-Fold Roller Banner & Mechanisms,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-T&C-BAN-DEALER,TNF & CS Dealer Opportunity Banner,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-POW-EXT,Power Extension,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-LF-STA,Leaflet Stand & Case,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-HI-VIS-JACKET,Hi-Vis Jackets,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-CS-WRAPS,CreaseStream Case Wraps,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-CS-SHOW-STA,CreaseStream Show Card Stand,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-CS-ROL-BAN,CreaseStream Roller Banner & Mechanisms,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-COVERS,Blue Show Covers,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-CABLE-HIDES,Rubber Cable Hides,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-BAN-CAS,Black Banner Cases with Foams & Lids,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-AMA-FIRE,Amazon Fire Tablets & acrylic Stands,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-ACR-RS,Acrylic Risers,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-ACR-FF-DEMO,Acrylic Fast Fit Tri-Creaser Demo Unit,0,0,,0,consumable,NEGLECTED,,,,,,,,
SS-ACR-CAB,Acrylic Show Cabinets,0,0,,0,consumable,NEGLECTED,,,,,,,,
SPYDER,Web cassette creasing unit w/ 2x creasing tools 25mm shaft,7000,7000,0.00,0,consumable,,,,,,,,,15/01/2025
SP-SHC/35-RD,35/36mm Spine-Hinge Creaser Red Spacer Sets,40,40,0.00,12,consumable,Spacer,70.0,19.57,48.9,19.57,48.9,24.00,60.0,23/05/2007
SP-MT/SH-55-0.8,Shoei 55mm Multi-Tool Spacer 0.8mm Thick,19.16,32.62,13.46,2.5,consumable,Spacer,87.0,19.57,102.1,19.57,102.1,19.57,60.0,21/04/2011
SP-MT/35-FS,Multi-Tool Spacers 35mm Full Set,0,0,,0,consumable,NEGLECTED,,,,,,,,
SP-MT/35-6,Multi-Tool Spacer - 6mm Width - Stahl & MBO 35mm Shaft,19.16,32.62,13.46,4.81,consumable,Spacer,74.9,19.57,102.1,19.57,102.1,19.57,60.0,22/12/2016
SP-MT/35-5,Multi-Tool Spacer - 5mm Width - Stahl & MBO 35mm Shaft,19.16,32.62,13.46,4.63,consumable,Spacer,75.8,19.57,102.1,19.57,102.1,19.57,60.0,23/11/2022
SP-MT/35-4,Multi-Tool Spacer - 4mm Width - Stahl & MBO 35mm Shaft,19.16,32.62,13.46,4.53,consumable,Spacer,76.4,19.57,102.1,19.57,102.1,19.57,60.0,22/12/2016
SP-MT/35-3,Multi-Tool Spacer - 3mm Width - Stahl & MBO 35mm Shaft,19.16,32.62,13.46,4.33,consumable,Spacer,77.4,19.57,102.1,19.57,102.1,19.57,60.0,04/12/2018
SP-MT/35-2,Multi-Tool Spacer - 2mm Width - Stahl & MBO 35mm Shaft,19.16,32.62,13.46,3.34,consumable,Spacer,82.6,19.57,102.1,19.57,102.1,19.57,60.0,21/10/2019
SP-MT/35-1,Multi-Tool Spacer - 1mm Width - Stahl & MBO 35mm Shaft,19.16,32.62,13.46,3.31,consumable,Spacer,82.7,19.57,102.1,19.57,102.1,19.57,60.0,21/08/2023
SP-MT/30-6,Multi-Tool Spacer - 6mm Width - MBO 30mm Shaft,19.16,32.62,13.46,0,consumable,Spacer,,19.57,102.1,19.57,102.1,19.57,60.0,20/12/2018
SP-MT/30-5,Multi-Tool Spacer - 5mm Width - MBO 30mm Shaft,19.16,32.62,13.46,0,consumable,Spacer,,19.57,102.1,19.57,102.1,19.57,60.0,21/03/2025
SP-MT/30-4,Multi-Tool Spacer - 4mm Width - MBO 30mm Shaft,19.16,32.62,13.46,0,consumable,Spacer,,19.57,102.1,19.57,102.1,19.57,60.0,21/03/2025
SP-MT/30-3,Multi-Tool Spacer - 3mm Width - MBO 30mm Shaft,19.16,32.62,13.46,0,consumable,Spacer,,19.57,102.1,19.57,102.1,19.57,60.0,20/12/2018
SP-MT/30-2,Multi-Tool Spacer - 2mm Width - MBO 30mm Shaft,19.16,32.62,13.46,0,consumable,Spacer,,19.57,102.1,19.57,102.1,19.57,60.0,20/12/2018
SP-MT/30-1,Multi-Tool Spacer - 1mm Width - MBO 30mm Shaft,19.16,32.62,13.46,0,consumable,Spacer,,19.57,102.1,19.57,102.1,19.57,60.0,20/12/2018
SP-MT/25-6,Multi-Tool Spacer - 6mm Width - Stahl & GUK 25mm Shaft,19.16,32.62,13.46,1.73,consumable,Spacer,91.0,19.57,102.1,19.57,102.1,19.57,60.0,26/10/2023
SP-MT/25-5,Multi-Tool Spacer - 5mm Width - Stahl & GUK 25mm Shaft,19.16,32.62,13.46,1.73,consumable,Spacer,91.0,19.57,102.1,19.57,102.1,19.57,60.0,12/08/2021
SP-MT/25-4,Multi-Tool Spacer - 4mm Width - Stahl & GUK 25mm Shaft,19.16,32.62,13.46,1.73,consumable,Spacer,91.0,19.57,102.1,19.57,102.1,19.57,60.0,12/08/2021
SP-MT/25-3,Multi-Tool Spacer - 3mm Width - Stahl & GUK 25mm Shaft,19.16,32.62,13.46,1.73,consumable,Spacer,91.0,19.57,102.1,19.57,102.1,19.57,60.0,12/08/2021
SP-MT/25-2,Multi-Tool Spacer - 2mm Width - Stahl & GUK 25mm Shaft,19.16,32.62,13.46,1.73,consumable,Spacer,91.0,19.57,102.1,19.57,102.1,19.57,60.0,12/08/2021
SP-MT/25-1,Multi-Tool Spacer - 1mm Width - Stahl & GUK 25mm Shaft,19.16,32.62,13.46,1.73,consumable,Spacer,91.0,19.57,102.1,19.57,102.1,19.57,60.0,12/08/2021
SHRINKWRAP,CS - Shrinkwrap for Pallets 400/300mtr,0,0,,5.39,consumable,NEGLECTED,,,,,,,,
SHOEI-65/02,Shoei Starter Package 45/65 with blue gripper bands,1449.6,2316.67,867.07,55.89,consumable,,96.1,1390,95.9,1390,95.9,1390.00,60.0,25/03/2010
SHOEI-65/01,Shoei 35/65mm Starter Package,1440,2416.67,976.67,415.68,consumable,,71.1,1450,100.7,1450,100.7,1450.00,60.0,29/06/2016
SHOEI-55/ADJ,Shoei 35/55 3mm Spine Creaser Adjustable,0,0,,12.99,consumable,,,,,,,,,22/09/2009
SHOEI-55/01,Shoei 35/55mm Starter Package,1440,2116.67,676.67,290.21,consumable,,79.8,1270,88.2,1270,88.2,1270.00,60.0,17/01/2014
SHOEI-15/01,Shoei Miniature Starter Pack Unit to fit 15mm Exit Shaft,1500,1500,0.00,0,consumable,NEGLECTED,,,,,,,,
SHIM-SP/PACK,Shim Washers Pack,2.5,2.5,0.00,12.49,consumable,,-399.6,,,,,,,15/07/2025
SHC-STA-ADJ/30-FP,Spine & Hinge Creaser Standard Adjustable 30mm,1796.4,1796.4,0.00,0,tool,Spine and Hinge Creaser,,892,49.7,892,49.7,1077.84,60.0,
SHC-STA-ADJ/04-FP,35mm Standard Adjustable Spine & Hinge Creaser,1796.4,1796.4,0.00,263.9,tool,Spine and Hinge Creaser,85.3,892,49.7,892,49.7,1077.84,60.0,10/10/2024
SHC-STA-ADJ/03-FP,36mm Standard Adjustable Spine & Hinge Creaser - Agor Versio,1796.4,1796.4,0.00,19.75,tool,Spine and Hinge Creaser,98.9,892,49.7,892,49.7,1077.84,60.0,22/03/2011
SHC-ST/25-01,25mm 3-8mm Spine & Hinge Creaser,1200,1200,0.00,130.43,tool,Spine and Hinge Creaser,89.1,,,,,,,04/06/2024
SHC-ST-ADJ/25-FP,25mm 3-8mm Spine & Hinge. Fixed female,1796.4,1796.4,0.00,113.79,tool,Spine and Hinge Creaser,93.7,892,49.7,892,49.7,1077.84,60.0,10/07/2024
SHC-SAMC-FP,Spine-Hinge Creaser for SAMC Machine,1512,1512,0.00,17.06,tool,Spine and Hinge Creaser,98.9,,,,,,,11/04/2007
SHC-RO-2,Spine-Hinge Creaser - Rollem (4 Creases on same Sheet Face),1512,1512,0.00,0,consumable,NEGLECTED,,,,,,,,
SHC-RO,Spine-Hinge Creaser - Rollem - Discontinued,1200,1276.67,76.67,122.67,tool,Spine and Hinge Creaser,89.8,766,63.8,766,63.8,766.00,60.0,28/05/2021
SHC-PC-ADJ/04-Y,Plastic Creaser35mm Adjust Spine/Hinge X4 in set,110,110,0.00,26.99,consumable,Plastic Creasing Band,75.5,,,,,,,30/08/2022
SHC-MF/30-02,30mm Spine-Hinge Creaser - 3-7mm Hinge,1512,1512,0.00,121.17,tool,Spine and Hinge Creaser,92.0,,,,,,,26/01/2007
SHC-MF/30-01-B,30mm Spine-Hinge Creaser - 3-8mm Hinge - 50.20mm O/D - China,1512,1512,0.00,17.06,tool,Spine and Hinge Creaser,98.9,,,,,,,20/03/2009
SHC-MF/30-01,30mm Spine-Hinge Creaser - 3-8mm Hinge - 49.56mm O/D,1512,1512,0.00,121.17,tool,Spine and Hinge Creaser,92.0,,,,,,,07/06/2012
SHC-GUK-2-B,GUK 3-10mm Spine-Hinge Orange Insert Creaser - 58.25mm O/D,1512,1512,0.00,15.14,tool,Spine and Hinge Creaser,99.0,,,,,,,18/06/2007
SHC-GUK-2,Spine-Hinge Creaser - GUK 58.25 O/D - 3-10mm Hinge,1512,1512,0.00,12.49,tool,Spine and Hinge Creaser,99.2,,,,,,,18/12/2007
SHC-GUK,DISCONTINUED - Spine-Hinge Creaser - GUK - 35mm I/D,0,0,,128.88,tool,,,,,,,,,05/07/2012
SHC-CSJ-ADJ/30-FP,OBSELETE - Spine & Hinge Creaser for 30mm CSJ,0,0,,220.66,consumable,,,,,,,,,28/06/2012
SHC-ADJ/DM-FP,Spine & Hinge Creaser to fit 29.62mm exit shaft,2036.4,2036.4,0.00,422.05,tool,Spine and Hinge Creaser,79.3,1055,51.8,1055,51.8,1221.84,60.0,10/06/2022
SHC-ADJ/04-FP,35mm Special Adjustable Spine & Hinge Creaser,2036.4,2036.4,0.00,370.52,tool,Spine and Hinge Creaser,81.8,955,46.9,955,46.9,1221.84,60.0,20/11/2025
SHC-ADJ/04-FE-WI,35mm Adjustable S&H Female Rings widest settings,0,0,,66.18,consumable,,,,,,,,,09/02/2016
SHC-ADJ/04-FE-O/BX2,35mm Adjustable S&H Female Rings with2X Orange/Blue Channels,0,0,,19.24,consumable,,,,,,,,,16/12/2016
SHC-ADJ/03-FP,DISCONTINUED 36mm Special Adjustable Spine&Hinge Creaser-USA,0,0,,321.06,tool,,,,,,,,,26/01/2010
SHC-ADJ-MF/30-FP,30mm Special Adjustable Spine & Hinge Creaser,2036.4,2036.4,0.00,370.6,tool,Spine and Hinge Creaser,81.8,955,46.9,955,46.9,1221.84,60.0,14/09/2022
SHC-04-B,35mm 3-10mm Spine-Hinge Orange Insert Creaser - 58mm I/D,1512,1512,0.00,15.14,tool,Spine and Hinge Creaser,99.0,,,,,,,18/06/2007
SHC-04,DISCONTINUED Spine-Hinge Creaser 35mm-4part 3-7mm Red Sp,0,0,,119.67,tool,,,,,,,,,14/12/2020
SHC-03,DISCONTINUED  -  Spine-Hinge Creaser - 36mm - 58mm O/D,0,0,,116.01,tool,,,,,,,,,15/12/2023
SHC-02-36,Spine-Hinge Creaser De-lux - 36mm I/D,1512,1512,0.00,89.64,consumable,NEGLECTED,94.1,,,,,,,
SHC-02,OBSELETE,0,0,,60,consumable,NEGLECTED,,,,,,,,
SHC-01-35,Spine-Hinge Creaser De-lux - 35mm I/D,1512,1512,0.00,89.64,consumable,NEGLECTED,94.1,,,,,,,
SHC-01,Spine-Hinge Creaser - 36mm I/D,1512,1512,0.00,60,tool,Spine and Hinge Creaser,96.0,,,,,,,27/02/2006
SH-GB/65-FP,Shoei 65mm Gripper Boss Support Rollers,102,126.67,24.67,29.45,tool,Gripper Boss,71.1,76,74.5,76,74.5,76.00,60.0,10/04/2014
SH-GB/55-FP,Shoei 55mm Gripper Boss Support Rollers,102,126.67,24.67,34.37,tool,Gripper Boss,66.3,76,74.5,76,74.5,76.00,60.0,05/12/2008
SH-GB/15-FP-GRIP,Gripper Boss Support Rollers to fit Morgana - Top Rollers On,36,56.67,20.67,9.85,tool,Gripper Boss,72.6,34,94.4,34,94.4,34.00,60.0,02/10/2012
SH-GB/15-FP,Miniature Shoei Gripper Boss Support Rollers,84,84,0.00,33.97,tool,Gripper Boss,59.6,,,,,,,24/10/2008
SCRIBER,Extraction Tool,7.75,13.38,5.63,1.17,consumable,,84.9,8.03,103.6,8.03,103.6,8.03,60.0,18/06/2025
SC-SH-01,"Spine-Creaser to fit Harris, Heidelberg Prosetter, Macey & S",1440,1440,0.00,96.57,tool,Spine-Creaser,93.3,640,44.4,640,44.4,864.00,60.0,08/03/2019
SC-OS-02,Spine-Creaser to fit Osako machines (with 'V' shaped groove,1440,1440,0.00,101.86,tool,Spine-Creaser,92.9,640,44.4,640,44.4,864.00,60.0,25/07/2025
SC-OS-01,Spine-Creaser to fit Osako Tener 310 machine,1440,1440,0.00,97.21,tool,Spine-Creaser,93.2,640,44.4,640,44.4,864.00,60.0,22/05/2023
SC-MU/PC-RB-5-Y-MOD,Quad-Creaser Yellow Split Plastic Creasing Rib,28,34.77,6.77,3.31,consumable,Plastic Creasing Band,88.2,20.86,74.5,20.86,74.5,20.86,60.0,29/04/2025
SC-MU/PC-RB-5-Y,Muller Spine & Hinge Creaser Yellow Split,28,28,0.00,3.31,consumable,Plastic Creasing Band,88.2,,,,,,,08/04/2016
SC-MU/PC-RB-5-W-MOD,Quad-Creaser White Split Plastic Creasing Rib,28,34.77,6.77,3.5,consumable,Plastic Creasing Band,87.5,20.86,74.5,20.86,74.5,20.86,60.0,14/04/2025
SC-MU/PC-RB-5-W,DISCONTINUED Muller Spine & Hinge Creaser White Split,28,28,0.00,3.5,consumable,Plastic Creasing Band,87.5,,,,,,,25/04/2024
SC-MU/PC-RB-5-R,Quad-Creaser Red Split Plastic Creasing Rib,28,34.77,6.77,3.22,consumable,Plastic Creasing Band,88.5,20.86,74.5,20.86,74.5,20.86,60.0,15/04/2025
SC-MU/PC-RB-5-MOD,Quad-Creaser Black Split Plastic Creasing Rib,28,34.77,6.77,3.22,consumable,Plastic Creasing Band,88.5,20.86,74.5,20.86,74.5,20.86,60.0,04/09/2025
SC-MU/PC-RB-5-B-MOD,Quad-Creaser Blue Split Plastic Creasing Rib,28,34.77,6.77,3.34,consumable,Plastic Creasing Band,88.1,20.86,74.5,20.86,74.5,20.86,60.0,10/01/2025
SC-MU/PC-RB-5-B,DISCONTINUED Muller Spine & Hinge Creaser Blue Split Plastic,28,28,0.00,3.34,consumable,Plastic Creasing Band,88.1,,,,,,,13/02/2013
SC-MU/PC-RB-5,DISCONTINUED Muller Spine & Hinge Creaser Black Split Plas,28,28,0.00,3.22,consumable,Plastic Creasing Band,88.5,,,,,,,16/11/2012
SC-MU/ADJ-MC,Muller Adjustable Male Component with Gripper band,275,275,0.00,0,consumable,,,,,,,,,30/05/2019
SC-MU/ADJ-LF-4C-FP,Quad-Creaser Lay Flat Attachment to fit Muller Martini Coron,1800,1800,0.00,292.54,tool,Spine-Creaser,83.7,831,46.2,906,50.3,1080.00,60.0,10/06/2022
SC-MU/ADJ-FP-01,"Quad-Creaser Adjustable to fit Muller Martini Corona, Bolero",2636.4,2636.4,0.00,483.74,tool,Quad-Creaser,81.7,986,37.4,1085,41.2,1581.84,60.0,30/09/2025
SC-MU/ADJ-FC,Muller Adjustable Female Component without gripper bands,275,275,0.00,0,consumable,,,,,,,,,04/07/2019
SC-MU/ADJ-6C-FP,"Quad-Creaser (Lay Flat) to fit Muller Martini Corona, Bolero",2880,2880,0.00,593.76,tool,Quad-Creaser,79.4,1283,44.5,1283,44.5,1728.00,60.0,16/09/2022
SC-MU-SP,Muller Spacer 6mm & 4mm Set,58,58,0.00,23.18,consumable,Spacer,60.0,,,,,,,22/02/2017
SC-MU-06,Muller Spine Creaser 1528.0444,1800,1800,0.00,280.47,tool,Spine-Creaser,84.4,955,53.1,955,53.1,1080.00,60.0,20/11/2024
SC-MU-05,Spine-Creaser to fit M�ller Martini 0554.0401 & 0507.0400 st,1916.4,1916.4,0.00,316.35,tool,Spine-Creaser,83.5,955,49.8,955,49.8,1149.84,60.0,28/04/2025
SC-MU-04,OBSOLETE - Spine Creaser to fit Muller Cover Feeder 0554.04,1916.4,1916.4,0.00,20.77,tool,Spine-Creaser,98.9,,,,,,,13/02/2014
SC-MU-03,Spine-Creaser to fit M�ller Martini 292 stitching machine co,1440,1440,0.00,52.05,tool,Spine-Creaser,96.4,640,44.4,640,44.4,864.00,60.0,04/04/2019
SC-MU-02-TEMPO,Spine-Creaser to fit M�ller Martini Tempo stitching machine,1323.6,1323.6,0.00,98.96,tool,Spine-Creaser,92.5,640,48.4,640,48.4,794.16,60.0,06/02/2023
SC-MU-02,"Spine-Creaser to fit M�ller Martini 1553, 1554, Primera E140",1440,1440,0.00,114.61,tool,Spine-Creaser,92.0,640,44.4,640,44.4,864.00,60.0,06/01/2025
SC-MC-01,McCain Spine-Creaser. DISCONTINUED,1824,1824,0.00,315.56,tool,,82.7,,,,,,,10/01/2022
SC-HORSESHOE,Horseshoe Male Holder for SC-HD-04,850,1028.33,178.33,0,consumable,,,617,72.6,577,67.9,617.00,60.0,14/03/2025
SC-HOR/25-FP-DSF-01,"Spine-Creaser to fit Horizon StitchLiner MkIII, MkIV & MkV m",1747,1747,0.00,129.91,tool,Spine-Creaser,92.6,777,44.5,850,48.7,1048.20,60.0,10/10/2025
SC-HOR/25-FP,Spine-Creaser to fit Horizon StitchLiner 5500 & 6000 machine,1440,1440,0.00,112.4,tool,Spine-Creaser,92.2,640,44.4,640,44.4,864.00,60.0,30/10/2025
SC-HO-02/CLIP,Clip for SC-HO-02,20.5,34.77,14.27,0,consumable,,,20.86,101.8,20.86,101.8,20.86,60.0,22/03/2012
SC-HO-02,Spine-Creaser to fit Hohner HSB 10000-S stitching machine co,1556.4,1591.67,35.27,19.43,tool,Spine-Creaser,98.8,955,61.4,955,61.4,955.00,60.0,01/02/2011
SC-HO-01,Spine-Creaser to fit Hohner HSB 8000 stitching machine cover,1440,1591.67,151.67,385,tool,Spine-Creaser,73.3,955,66.3,955,66.3,955.00,60.0,13/01/2025
