Product Code,Description,Original Sales Price,New Sales Price,Difference,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
WEBCASSETTE-CALLIPER,Web cassette calliper,0,0,,31.52,consumable,NEGLECTED,,,,,,,,
WEBCASSETTE-BASEPLATE-620MM,Web cassette base plate for 620mm shaft,0,0,,296.95,consumable,NEGLECTED,,,,,,,,
WEBCASSETTE-BASEPLATE,Web cassette base plate for 620mm,0,0,,296.95,consumable,NEGLECTED,,,,,,,,
WEBCASSETTE-ADJUSTERBLOCK,Web cassette adjuster block,0,0,,36.88,consumable,NEGLECTED,,,,,,,,
WEB-ETM/HOLDER,Web Holder Arm,984,984,0.00,750,consumable,,23.8,,,,,,,31/08/2021
UCHIDA-29/01,Uchida Tri-Creaser Fast Fit Starter Package,2280,3816.67,1536.67,613.44,tool,Fast-Fit Tri-Creaser,73.1,2290,100.4,2290,100.4,2290.00,60.0,22/01/2010
UC-GB/29-FP,Uchida Gripper Boss Support Rollers,170,170,0.00,110.14,consumable,NEGLECTED,35.2,76,44.7,76,44.7,102.00,60.0,
TWS-ID/MBO45.5,WRONG CODE - DO NOT USE,42,42,0.00,0,consumable,NEGLECTED,,,,,,,,
TWS-ID/MBO45.4,WRONG CODE - DO NOT USE,42,42,0.00,0,consumable,NEGLECTED,,,,,,,,
TWS-ID/MBO45.3,WRONG CODE - DO NOT USE,42,42,0.00,0,consumable,NEGLECTED,,,,,,,,
TWS-ID/MBO30-5,Waste Stripper - 5mm Width - 30mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,20/11/2024
TWS-ID/MBO30-4,Waste Stripper - 4mm Width - 30mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,27/07/2022
TWS-ID/MBO30-3,Waste Stripper - 3mm Width - 30mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,25/03/2024
TWS-ID/MBO-40.5,Waste Stripper - 5mm Width - 40mm Inside Diameter,42,42,0.00,0,consumable,Waste-Stripper,,20.3,48.3,20.3,48.3,25.20,60.0,19/05/2025
TWS-ID/MBO-40.4,Waste Stripper - 4mm Width - 40mm Inside Diameter,42,42,0.00,0,consumable,Waste-Stripper,,20.3,48.3,20.3,48.3,25.20,60.0,11/03/2024
TWS-ID/MBO-40.3,Waste Stripper - 3mm Width - 40mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,11/03/2024
TWS-ID/MBO-35.5,35mm MBO Waste Stripper-5mm Thick,42,42,0.00,5,consumable,Waste-Stripper,88.1,,,20.3,48.3,,,03/04/2023
TWS-ID/MBO-35.4,35mm MBO Waste Stripper-4mm Thick,42,42,0.00,5,consumable,Waste-Stripper,88.1,,,,,,,
TWS-ID/MBO-35.3,35mm MBO Waste Stripper-3mm Thick,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,09/10/2023
TWS-ID/MBO-35-5,35mm MBO Waste Stripper 5mm Thick Short Version,42,42,0.00,0,consumable,Waste-Stripper,,,,,,,,23/05/2025
TWS-ID/MBO-35-3,35mm MBO Waste Stripper 3mm Thick Short Version,42,42,0.00,5,consumable,Waste-Stripper,88.1,,,20.3,48.3,,,31/03/2025
TWS-ID/MBO-30.5-SHORT,Waste Stripper MBO 30mm I/D 5mm Width Short Version,42,42,0.00,0,consumable,Waste-Stripper,,,,20.3,48.3,,,02/07/2025
TWS-ID/MB-5,Waste Stripper - 5mm Width - 20mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,11/03/2022
TWS-ID/MB-4,Waste Stripper - 4mm Width - 20mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,14/08/2012
TWS-ID/MB-3,Waste Stripper - 3mm Width - 20mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,30/09/2024
TWS-ID/HO30.5,30mm Horizon Waste Stripper,42,42,0.00,0,consumable,Waste-Stripper,,20.3,48.3,20.3,48.3,25.20,60.0,13/06/2025
TWS-ID/HO20-5,Waste Stripper - 5mm Width - 20mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,12/01/2024
TWS-ID/HO20-4,Waste Stripper - 4mm Width - 20mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,26/02/2013
TWS-ID/HO20-3,Waste Stripper - 3mm Width - 20mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,26/02/2013
TWS-ID/HH45.5,Waste Stripper - 5mm Width - 45mm Inside Diameter,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,
TWS-ID/HH45.4,Waste Stripper - 4mm Width - 45mm Inside Diameter,42,42,0.00,9.75,consumable,Waste-Stripper,76.8,20.3,48.3,20.3,48.3,25.20,60.0,
TWS-ID/HH45.3,Waste Stripper - 3mm Width - 45mm Inside Diameter,42,42,0.00,9.75,consumable,Waste-Stripper,76.8,20.3,48.3,20.3,48.3,25.20,60.0,03/11/2021
TWS-ID/HH30.5,Waste Stripper - 5mm Width - 30mm Inside Diameter,42,42,0.00,6,consumable,Waste-Stripper,85.7,20.3,48.3,20.3,48.3,25.20,60.0,30/07/2021
TWS-ID/HH30.4,Waste Stripper - 4mm Width - 30mm Inside Diameter,42,42,0.00,0,consumable,Waste-Stripper,,20.3,48.3,20.3,48.3,25.20,60.0,04/04/2025
TWS-ID/HH30.3,Waste Stripper - 3mm Width - 30mm Inside Diameter,42,42,0.00,6,consumable,Waste-Stripper,85.7,20.3,48.3,20.3,48.3,25.20,60.0,11/07/2017
TWS-ID/HH25-M9-3,Waste Stripper For H&H 25mm,42,42,0.00,0,consumable,Waste-Stripper,,,,,,,,
TWS-ID/HH25-M7-3,Waste Stripper For H&H 25mm,42,42,0.00,0,consumable,Waste-Stripper,,,,,,,,
TWS-ID/GUK35-CREASER-5,GUK Creaser 35mm Waste Stripper - 5mm Thick,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,26/01/2012
TWS-ID/GUK35-CREASER-4,GUK Creaser 35mm Waste Stripper - 4mm Thick,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,
TWS-ID/GUK35-CREASER-3,GUK Creaser 35mm Waste Stripper - 3mm Thick,42,42,0.00,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,29/04/2014
TWS-ID/GUK35-5,Waste Stripper - 5mm Width - 35mm Inside Diameter,42,42,0.00,20,consumable,Waste-Stripper,52.4,20.3,48.3,20.3,48.3,25.20,60.0,13/05/2016
