Product Code,Description,Type,Category,Old Customer Price (£),New Customer Price (£),Price Change (£),Price Change (%)
FF-DSF/25-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/25-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/25-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/30-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/30-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/30-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/30-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/35-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/35-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/35-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/35-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/GU-35-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/GU-35-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/GU-35-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/GU-35-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/HH-35-NY,Tri-Creaser Advance Black Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/HH-35-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/HH-35-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/HH-35-NY-W,Tri-Creaser Advance White Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/HH-35-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/HO-20-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/HO-20-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/HO-20-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/PET-40-NY-B,Petratto 40mm Double Score Female Creasing Ring .Blue,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/PET-40-NY-R,Petratto 40mm Double Score Female Creasing Ring. Red,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/PET-40-NY-Y,Petratto 40mm Double Score Female Creasing Ring  Yellow,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/RO-NY-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/RO-NY-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/RO-NY-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/ROS-NY-B,Tri Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/ROS-NY-O,Tri Creaser Advance Orange Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
FF-DSF/ROS-NY-Y,Tri Creaser Advance Yellow Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
RS-NY/FE,Tri-Creaser Advance Black Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
RS-NY/FE-B,Tri-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
RS-NY/FE-R,Tri-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
RS-NY/FE-Y,Tri-Creaser Advance Yellow Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
SC-DSF/HOR-25-NY-B,Spine-Creaser Advance Blue Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
SC-DSF/HOR-25-NY-R,Spine-Creaser Advance Red Female Receiver Ring,consumable,Female Receiver Ring,42.00,46.35,4.35,10.4
