Product Code,Description,Type,Category,,Old Sales Price,New Sales Price,Difference,Percentage Difference, ,  ,Old Distributor Price,New Distributor Price,Difference ,Percentage Difference 
MOULD-09,Pink Dot Insert - for 25/30mm Shaft,consumable,Rubber Creasing Band (Insert),,15,20,5,33.3,,,5.93,12,6.07,102.4
MOULD-07,Green Dot Insert - for MB - 34mm O/D 1.0mm Thick,consumable,Rubber Creasing Band (Insert),,15,20,5,33.3,,,5.93,12,6.07,102.4
MOULD-06,Red/Yellow Dot Insert - for MB - 34mm O/D 0.75mm Thick,consumable,Rubber Creasing Band (Insert),,15,20,5,33.3,,,5.93,12,6.07,102.4
MOULD-03,Small Creasing Insert for Eurofold Standard Tri-Creaser,consumable,Rubber Creasing Band (Insert),,15,20,5,33.3,,,5.93,12,6.07,102.4
MOULD--08,Red Dot Insert - for 25/30mm Shaft,consumable,Rubber Creasing Band (Insert),,15,20,5,33.3,,,5.93,12,6.07,102.4
CK-SH/65-01,Cutting Knife - 69.5mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-SH/55-01,Cutting Knife - 59.5mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-MF/40-01,Cutting Knife - 62.5mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-MB-O1,Cutting Knife - 43.5mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-MB-02,Kiss-Cutting Knife,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-HH/30-2,Kiss-Cutting Knife,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-HH/30-1,Cutting Knife - 48.85mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-GUK-02,Kiss-Cutting Knife,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-GUK-01,Cutting Knife - 63mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-BF/28-01,Cutting Knife - 60.15mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-BF/22-02,Kiss-Cutting Knife,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-30-02,Kiss-Cutting Knife,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-30-01,Cutting Knife - 52.85mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-25-02,Kiss-Cutting Knife,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-25-01,Cutting Knife - 47.5mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-02,Kiss-Cutting Knife,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-01(62.5MM),Cutting Knife - 62.5mm Outer Diameter,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-01,Old Style 60.67mm O/D Cutting Knives,consumable,Cutting Knife,,42,99,57,135.7,,,29.7,59.4,29.7,100
CK-02-V-STYLE,Double Bevelled Kiss-Cutting Knife,consumable,Cutting Knife,,45,99,54,120,,,31.5,59.4,27.9,88.6
CK-SH/65-02,Long Cutting Knife - 71mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
CK-SH/55-02,Long Cutting Knife - 61mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
CK-MF/40-03,Long Cutting Knife - 64mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
CK-MB-03,Long Cutting Knife - 45.5mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
CK-HH/30-3,Long Cutting Knife - 52mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
CK-GUK-03,Long Cutting Knife - 65.3mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
CK-BF/28-03,Long Cutting Knife - 61.65mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
CK-30-03,Long Cutting Knife - 56mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
CK-25-03,Long Cutting Knife - 50mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
CK-03,Long Cutting Knife - 64mm Outer Diameter,consumable,Cutting Knife,,45,99,54,120,,,32,59.4,27.4,85.6
MPB-ST/MAILER-52,Micro-Perf Blade - 52 TPI - Stahl Mailer-Stop,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-ST/MAILER-25,Micro-Perf Blade - 25 TPI - Stahl Mailer-Stop,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-ST/MAILER-17,Micro-Perf Blade - 17 TPI - Stahl Mailer-Stop,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-ROS-BA-72,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-ROS-BA-52,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-ROS-BA-25,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-ROS-BA-17,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-MB-72,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-MB-52,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-MB-25,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-MB-17,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-8,8 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-72/BF/22MM,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-72/30MM,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-72/25MM,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-72-GUK,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-72,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-7,7 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52/SH-65,Micro-Perf Blade - 52 TPI - Shoei 65mm,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52/SH-55,Micro-Perf Blade - 52 TPI - Shoei 55mm,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52/RO,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52/MF-40,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52/BF/28MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-52/BF/22MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
