product_code,standard_price
SC-MU-02,640.00
SC-MU-02-TEMPO,640.00
SC-MU-03,640.00
SC-OS-01,640.00
SC-OS-02,640.00
SC-SH-01,640.00
PD-DEL-ST/50-FP,608.00
PD-WEB,580.00
SC-HORSESHOE,577.00
FF-SH/15-FP-01-B-PACK,539.00
PD-DEL-MO/15-FP-PACK,539.00
EF-25/FIX-FE,530.00
EF-36-FIXED,530.00
EF-BAC-FP,530.00
EF-BF/22-FP,530.00
EF-BF/28-FP,530.00
EF-BR-RO/20-FP,530.00
EF-DEL-PE/26-FP,530.00
EF-DM/30-FP,530.00
EF-FI/45,530.00
EF-GU/35-FIX,530.00
EF-GU/35-FP,530.00
EF-HH/25-FP,530.00
EF-HH/30-FIX,530.00
EF-HH/35-FP,530.00
EF-HH/67.5-FP,530.00
EF-HH/67.5-FP-01,530.00
EF-HH/67.5-FP-02,530.00
EF-HO/25-FP,530.00
EF-HO/30-FP,530.00
EF-HO/50-FP,530.00
EF-HO/65-FP,530.00
EF-ITA/25-FP,530.00
EF-KORA/01-FP,530.00
EF-MB/20-FP,530.00
EF-MF/30-FP,530.00
EF-MF/40-FIX,530.00
EF-RO/20-FP,530.00
EF-RO/20-REV,530.00
EF-ROS/25-FP,530.00
EF-SAMC-FP,530.00
EF-SH/35-FP,530.00
EF-SM/35-FIX,530.00
EF-SM/35-FP,530.00
EF-ST/20-FP,530.00
EF-ST/25-FP,530.00
EF-ST/45-FP,530.00
EF-ST/50-FP,530.00
QC-03,530.00
TC-DEL-FI/40-FP,530.00
TC-DEL-FI/64-FP,530.00
TC-DEL-GA/01-FP,530.00
TC-DEL-MF/60-FP,530.00
TC-DEL-ZA/40-FP,530.00
FF-STA-SM/35-FIX,520.00
FF-STA-ST/25-FIX,520.00
FF-STA-ST/25-FIX-01,520.00
KB-GB-94,518.00
MT-01/PERF-OPTION-1,498.00
MT-02/PERF-OPTION-1,498.00
MT-03/PERF-OPTION-1,498.00
