Product Code,Description,Type,Category,Gina Old Distributor Price (£),New Distributor Price (£),Price Change (£),Price Change (%)
CK-30-01,Cutting Knife - 52.85mm Outer Diameter,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-30-02,Kiss-Cutting Knife,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-30-03,Long Cutting Knife - 56mm Outer Diameter,consumable,Cutting Knife,32.00,59.40,27.40,85.6
CK-BF/22-02,Kiss-Cutting Knife,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-BF/28-01,Cutting Knife - 60.15mm Outer Diameter,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-BF/28-02,Kiss-Cutting Knife,consumable,Cutting Knife,36.45,59.40,22.95,63.0
CK-BF/28-03,Long Cutting Knife - 61.65mm Outer Diameter,consumable,Cutting Knife,32.00,59.40,27.40,85.6
CK-GUK-01,Cutting Knife - 63mm Outer Diameter,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-GUK-02,Kiss-Cutting Knife,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-GUK-03,Long Cutting Knife - 65.3mm Outer Diameter,consumable,Cutting Knife,32.00,59.40,27.40,85.6
CK-HH/25-01,Cutting Knife 40m O/D,consumable,Cutting Knife,42.00,59.40,17.40,41.4
CK-HH/30-1,Cutting Knife - 48.85mm Outer Diameter,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-HH/30-2,Kiss-Cutting Knife,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-HH/30-3,Long Cutting Knife - 52mm Outer Diameter,consumable,Cutting Knife,32.00,59.40,27.40,85.6
CK-HH/45-01,Cutting Knife - 72mm Outer Diameter,consumable,Cutting Knife,43.00,59.40,16.40,38.1
CK-HH/45-02,Long Cutting Knife - 73.5mm Outer Diameter,consumable,Cutting Knife,46.00,59.40,13.40,29.1
CK-MB-02,Kiss-Cutting Knife,consumable,Cutting Knife,29.70,59.40,29.70,100.0
CK-MB-03,Long Cutting Knife - 45.5mm Outer Diameter,consumable,Cutting Knife,32.00,59.40,27.40,85.6
