Product Code,Description,Sales Price,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Price Difference,Last Order Date
MOULD-142B,Orange EnduraCrease Fast Fit Rosback Split,26,2.73,consumable,NEGLECTED,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,
MOULD-142,Orange Fast-Fit Rosback Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,12/10/2015
MOULD-141X,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,1.76,consumable,Rubber Creasing Band,92.3,9.85,42.8,9.85,42.8,13.80,60.0,3.95,26/03/2025
MOULD-141B-X,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease,26,2.28,consumable,Rubber Creasing Band,91.2,11.23,43.2,11.23,43.2,15.60,60.0,4.37,08/01/2025
MOULD-141B,Green EnduraCrease Fast Fit Rosback Split,26,2.73,consumable,NEGLECTED,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,
MOULD-141,Blue Fast-Fit Rosback Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,03/04/2023
MOULD-140X,Tri-Creaser Fast Fit Yellow Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,12/06/2025
MOULD-140B-X,Tri-Creaser Fast Fit Pink Endura Split Gripper Crease,26,2.65,consumable,Rubber Creasing Band,89.8,11.23,43.2,11.23,43.2,15.60,60.0,4.37,08/07/2025
MOULD-140B,Pink EnduraCrease Fast-Fit Rosback Split Lugged,26,2.73,consumable,NEGLECTED,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,
MOULD-140,Yellow Fast-Fit Rosback Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,19/06/2025
MOULD-14,Green/Orange Dot Insert - 50mm O/D - Shoei 65 and Rollem SHC,15,1.07,consumable,Rubber Creasing Band,92.9,5.93,39.5,5.93,39.5,9.00,60.0,3.07,24/05/2023
MOULD-139SB,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,19/09/2024
MOULD-139B-X,Tri-Creaser Fast Fit Green Endura Split Gripper Crease,26,2.61,consumable,Rubber Creasing Band,90.0,11.23,43.2,11.23,43.2,15.60,60.0,4.37,19/09/2024
MOULD-139,Blue Fast Fit Small Baum Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,24/03/2025
MOULD-138SB,Tri-Creaser Fast Fit Orange Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,20/03/2025
MOULD-138B-X,Tri-Creaser Fast Fit Red Endura Split Gripper Crease,26,4.85,consumable,Rubber Creasing Band,81.3,11.23,43.2,11.23,43.2,15.60,60.0,4.37,18/04/2018
MOULD-138,Orange  Fast Fit Small Baum Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,06/02/2024
MOULD-137SB,Tri-Creaser Fast Fit Yellow Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,22/05/2023
MOULD-137B-X,Tri-Creaser Fast Fit Pink Endura Split Gripper Crease,26,2.61,consumable,Rubber Creasing Band,90.0,11.23,43.2,11.23,43.2,15.60,60.0,4.37,18/04/2018
MOULD-137,Yellow  Fast Fit Small Baum Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,24/03/2025
MOULD-136SB,Tri-Creaser Fast Fit Orange Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,12/09/2022
MOULD-136B-SX,Tri-Creaser Fast Fit Orange Endura Split Gripper Crease,26,1.81,consumable,Rubber Creasing Band,93.0,11.23,43.2,11.23,43.2,15.60,60.0,4.37,23/09/2021
MOULD-136,Orange Fast-Fit Large Baum Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,10/12/2020
MOULD-135SB,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,14/11/2018
MOULD-135B-SX,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease,26,2.61,consumable,Rubber Creasing Band,90.0,11.23,43.2,11.23,43.2,15.60,60.0,4.37,23/09/2021
MOULD-135,Blue Fast-Fit Large Baum Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,04/06/2025
MOULD-134SB,Tri-Creaser Fast Fit Yellow Split Gripper Crease,23,1.62,consumable,Rubber Creasing Band,93.0,9.85,42.8,9.85,42.8,13.80,60.0,3.95,14/11/2018
MOULD-134B-SX,Tri-Creaser Fast Fit Yellow Endura Split Gripper Crease,26,1.81,consumable,Rubber Creasing Band,93.0,11.23,43.2,11.23,43.2,15.60,60.0,4.37,23/09/2021
MOULD-134,Yellow Fast-Fit Large Baum Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,19/03/2020
MOULD-133B,Tri-Creaser Easy Fit Orange Endura Gripper Crease,22,2.73,consumable,Rubber Creasing Band,87.6,8.48,38.5,8.48,38.5,13.20,60.0,4.72,20/02/2015
MOULD-133,Tri-Creaser Easy Fit Orange Gripper Crease,19,1.81,consumable,Rubber Creasing Band,90.5,7.11,37.4,7.11,37.4,11.40,60.0,4.29,13/01/2020
MOULD-132B,Tri-Creaser Easy Fit Pink Endura Gripper Crease,22,2.73,consumable,Rubber Creasing Band,87.6,8.48,38.5,8.48,38.5,13.20,60.0,4.72,20/02/2015
MOULD-132,Tri-Creaser Easy Fit Yellow Gripper Crease,19,1.81,consumable,Rubber Creasing Band,90.5,7.11,37.4,7.11,37.4,11.40,60.0,4.29,04/06/2025
MOULD-131B,Tri-Creaser Easy Fit Blue Endura Gripper Crease,19,2.73,consumable,Rubber Creasing Band,85.6,8.48,44.6,8.48,44.6,11.40,60.0,2.92,26/10/2023
MOULD-131,Tri-Creaser Easy Fit Blue Gripper Crease,19,1.81,consumable,Rubber Creasing Band,90.5,7.11,37.4,7.11,37.4,11.40,60.0,4.29,13/01/2020
