product_code,cost_price,,
CSCC/NY-SL,7.70,,
CSJ-1345302180,12.82,,
CSJ-BOTTOMWASTE,1.50,,
CSJ-DHTD-5M-305,4.22,,
CSJ-PCBOARD,45.30,,
CSJ-PRO/30-SHC,237.64,,
CSJ-TOPWASTE,1.50,,
CSJ/30-BH-PACK,81.03,,
CSJ/SHAFT,110.00,,
CSJ/SHC-30,264.00,,
CSM-ADAPT24V,30.47,,
CSM-AF-ACC-ORI,0.50,,
CSM-AF-ACC-SS/,0.10,,
CSM-AF-ACC/LC42,1.53,,
CSM-AF-CLDISC,1.00,,
CSM-AF-DOGAMO,179.76,,
CSM-AF-ELBOARD,84.61,,
CSM-AF-ON/OFF,1.66,,
CSM-AF-SBKX-16-25,2.67,,
CSM-AF-TS,1.46,,
CSM-AFGEAR/SHCOLL,6.87,,
CSM-AFGEAR/TBELT280-10,9.85,,
CSM-AFGEAR/TWASH,2.01,,
CSM-BOLTM8,1.00,,
CSM-DC/DSF,831.53,,
CSM-FEEDER13,217.66,,
CSM-FRONT-COG,1.00,,
CSM-FTP,25.66,,
CSM-FTROLLER,18.71,,
CSM-FTWASHER,0.27,,
CSM-LCBEARING,0.10,,
CSM-ORING,2.20,,
CSM-PIN/59323935,3.07,,
CSM-QF-DC/DSF,1642.22,,
CSM-SCREWM4X1,0.01,,
CSM/25-BH,34.00,,
CSM/25-BH-PACK,66.85,,
CSM/25-BH-WASTE,2.20,,
CSM/25-CB-BCC,12.25,,
CSM/25-CB-ST,31.40,,
CSM/25-CT,73.61,,
CSM/25-DSF-PACK,249.85,,
CSM/25-FE-HOLD,1.00,,
CSM/25-FE-PACK-DSF,86.95,,
CSM/25-FF-DSF,139.17,,
CSM/25-GB-TOP,18.95,,
CSM/25-HOLDER,34.88,,
CSM/25-MP,111.55,,
CSM/BELT-30X2-6,65.34,,
CSM/ENDSTOP,14.31,,
CSM/GPBELT,7.75,,
CSM/HANDLE,8.69,,
CSM/LSLAY-96-41,56.51,,
CSM/LSLAY-FIXED,36.41,,
CSM/PER-ST-SM,4.15,,
CSM/RSLAY-96-41,56.51,,
CSM/RSLAY-ADJ,36.41,,
CSM/SBAR,3.62,,
CSM/SHAFT,105.06,,
CSM/SIDESTOP,6.71,,
CSM/SLAY,11.30,,
CSM/SM59349977,3.62,,
CSM/TOWERSCRE,0.79,,
CSMDR59323940,12.91,,
CSP-10MMXT5X28,7.74,,
CSP-BEARING,10.99,,
CSP-COGBELTDRI,22.03,,
CSP-COUPLING,75.84,,
CSP-LGB,7.10,,
CSP-SHAFT,2.13,,
CSP/35-HOLDER,36.30,,
CSP/MT-WASTE,58.97,,
CSP/N-LAYS,348.00,,
DEMO-02,373.70,,
DEMO-UNIT-L,421.25,,
DU-ST/BK-PC,8.08,,
DU-ST/WH-PC,7.97,,
DU-ST/YE-PC,7.39,,
E00012707/2,2.08,,
EF-36-FIXED,64.62,,
EF-AG/28-FP,1.77,,
EF-BAC-FP,114.30,,
EF-BF/22-FP,114.68,,
EF-DEL-PE/26-FP,94.26,,
EF-DM/30-FP,87.58,,
EF-FI/40-FIX,148.09,,
EF-GU/35-FP,41.18,,
EF-HH/25-FP,72.72,,
EF-HH/30-FIX,72.12,,
EF-HH/35-FP,187.08,,
EF-HH/67.5-FP,103.87,,
EF-HH/67.5-FP-01,91.55,,
EF-HO/30-FP,121.03,,
EF-HO/50-FP,108.29,,
EF-HO/65-FP,138.84,,
EF-KORA/01-FP,159.33,,
EF-MB/20-FP,161.23,,
EF-MF/40-FIX,89.07,,
EF-PC-BF/28-Y,9.10,,
EF-PC-HH/30-Y,5.17,,
EF-PC-HH/67.5-B,7.30,,
EF-PC-HH/67.5-W,9.95,,
EF-PC/25-Y,6.97,,
EF-PC/30-B,6.44,,
